artist,album,play_count
The Kinks,The Kink Kronikles,746
Frank Black,Teenager of the Year,704
Devo,Pioneers Who Got Scalped,690
The Zombies,Odessey and Oracle,680
Badly Drawn Boy,The Hour of Bewilderbeast,622
The Clash,London Calling,594
Modest Mouse,The Moon & Antarctica,568
Belle and Sebastian,The Life Pursuit,551
Fleet Foxes,Fleet Foxes,547
Neutral Milk Hotel,In the Aeroplane Over the Sea,547
La casa azul,Tan Simple Como El Amor,535
Buddy Holly,Greatest Hits,534
The Residents,The Commercial Album,531
The Unicorns,Who Will Cut Our Hair When We're Gone?,524
Sufjan Stevens,Illinois,523
Frank Sinatra,Nothing But The Best,516
The Dismemberment Plan,Emergency & I,507
XTC,Skylarking,503
Broken Social Scene,You Forgot It In People,503
Madvillain,Madvillainy,495
The Fiery Furnaces,Blueberry Boat,491
The Hives,Tyrannosaurus Hives,491
Robert Johnson,King Of The Delta Blues,488
Frank Zappa,Strictly Commercial,485
Surfer Blood,Astro Coast,484
The Libertines,Up the Bracket,480
Built to Spill,Keep It Like a Secret,475
My Bloody Valentine,Loveless,474
Vampire Weekend,Vampire Weekend,474
Os Mutantes,Os Mutantes,467
Grizzly Bear,Veckatimest,453
Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,452
Spoon,Kill the Moonlight,452
Arcade Fire,Neon Bible,446
Dr. Octagon,Dr. Octagonecologyst,445
Girl Talk,Feed the Animals,444
The Smiths,Hatful of Hollow,441
Boards of Canada,Music Has the Right to Children,441
The Stone Roses,The Stone Roses,440
The Avalanches,Since I Left You,439
The Microphones,The Glow Pt. 2,439
Crowded House,Woodface,435
No Age,Nouns,433
Gnarls Barkley,St. Elsewhere,431
Jurassic 5,Quality Control,430
Can,Ege Bamyasi,429
Modest Mouse,Good News For People Who Love Bad News,426
Wolf Parade,Apologies to the Queen Mary,423
Belle and Sebastian,Push Barman to Open Old Wounds,423
The Magnetic Fields,69 Love Songs,421
GZA/Genius,Liquid Swords,419
Hüsker Dü,New Day Rising,418
Radiohead,Kid A,416
Radiohead,Amnesiac,414
Deerhunter,Microcastle,414
Animal Collective,Merriweather Post Pavilion,412
The Jesus and Mary Chain,Psychocandy,412
Wilco,Being There,411
John Lennon,John Lennon/Plastic Ono Band,411
Sam Cooke,Portrait of a Legend,408
Neil Young,Decade,406
Andrew Bird,The Mysterious Production of Eggs,406
Ghostface Killah,Fishscale,405
The Notorious B.I.G.,Ready to Die,403
Wilco,Yankee Hotel Foxtrot,402
Wu-Tang Clan,Enter the Wu-Tang (36 Chambers),401
Minutemen,Double Nickels on the Dime,400
The Velvet Underground,The Velvet Underground,398
Andrew W.K.,I Get Wet,388
Panda Bear,Person Pitch,388
DJ Shadow,Endtroducing.....,386
Xiu Xiu,Fabulous Muscles,385
Hot Hot Heat,Make Up the Breakdown,385
Lou Reed,Transformer,383
Public Enemy,It Takes a Nation of Millions to Hold Us Back,381
Wavves,Wavvves,381
Band of Horses,Cease to Begin,379
The Velvet Underground,The Velvet Underground & Nico,378
Pink Floyd,The Wall,377
The Replacements,Let It Be,376
The Olivia Tremor Control,Dusk at Cubist Castle,371
Yo La Tengo,I Can Hear the Heart Beating as One,371
The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,371
Andrew Bird,Noble Beast,365
Beck,Sea Change,365
The Strokes,Room on Fire,363
The Beach Boys,Pet Sounds,362
Smog,Knock Knock,361
Fugazi,13 Songs,360
Ween,Chocolate and Cheese,360
Cat Power,You Are Free,358
Mel Tormé,Mel Tormé Sings Fred Astaire,356
Doves,The Last Broadcast,354
My Morning Jacket,Z,354
Björk,Vespertine,353
Gorillaz,Demon Days,348
Brian Wilson,SMiLE,344
The Wrens,The Meadowlands,344
Super Furry Animals,Phantom Power,343
Pixies,Doolittle,340
Serge Gainsbourg,Initials SG,340
Bonnie 'Prince' Billy,I See a Darkness,339
Animal Collective,Strawberry Jam,339
Pavement,Terror Twilight,339
Islands,Return to the Sea,333
Spoon,Gimme Fiction,331
The National,Alligator,328
Bibio,Ambivalence Avenue,327
Wilco,Summer Teeth,327
Frank Zappa,We're Only in It for the Money,326
Girls,Album,325
Dirty Projectors,Bitte Orca,325
Chuck Berry,The Definitive Collection,325
The Shins,Chutes Too Narrow,323
The Fiery Furnaces,I'm Going Away,323
of Montreal,Satanic Panic in the Attic,323
Mercury Rev,Deserter's Songs,322
TV on the Radio,Dear Science,318
Belle and Sebastian,The Boy With The Arab Strap,316
Why?,Alopecia,315
Grandaddy,Sumday,315
David Byrne,Grown Backwards,313
The Rolling Stones,Exile on Main St.,312
Queen,Greatest Hits,312
Pulp,Different Class,311
The Flaming Lips,The Soft Bulletin,311
Guided by Voices,Human Amusements at Hourly Rates,309
Belle and Sebastian,If You're Feeling Sinister,309
Yo La Tengo,Fakebook,308
David Bowie,Low,308
MGMT,Oracular Spectacular,305
Beastie Boys,Paul's Boutique,305
Tenacious D,Tenacious D,305
UNKLE,Psyence Fiction,304
Weezer,Blue Album,303
The Flaming Lips,Yoshimi Battles The Pink Robots,303
George Harrison,All Things Must Pass,302
Pavement,"Crooked Rain, Crooked Rain",302
Ricky Nelson,Greatest Hits,302
Real Estate,Real Estate,302
The Jam,Sound Affects,302
Belle and Sebastian,Dear Catastrophe Waitress,301
Boat,Dress Like Your Idols,301
The Jesus Lizard,Liar,300
The Clash,Give 'Em Enough Rope,299
Interpol,Turn on the Bright Lights,299
Matthew Sweet,Girlfriend,297
Air,Moon Safari,297
Roxy Music,The Best Of Roxy Music,295
Guided by Voices,Bee Thousand,294
Led Zeppelin,Led Zeppelin III,294
At the Drive-In,Relationship of Command,294
The Band,Music From Big Pink,293
The Notwist,Neon Golden,293
Peter Bjorn and John,Writer's Block,293
The xx,xx,293
Buzzcocks,Singles Going Steady,291
The Flaming Lips,Clouds Taste Metallic,288
Yo La Tengo,I Am Not Afraid Of You And I Will Beat Your Ass,287
Radiohead,OK Computer,287
Tenacious D,The Pick of Destiny,286
The Pipettes,We Are The Pipettes,286
múm,Yesterday Was Dramatic - Today Is OK,286
The Beatles,Revolver,285
Beach House,Teen Dream,284
Miles Davis,Birth of the Cool,283
Why?,Eskimo Snow,282
The Kinks,The Ultimate Collection,282
Pavement,Brighten the Corners,281
The Byrds,Greatest Hits,280
Fever Ray,Fever Ray,279
Van Morrison,Moondance,279
Luna,Romantica,279
Radiohead,The Bends,278
Rancid,...And Out Come The Wolves,277
The Supremes,Number Ones,277
Menomena,Friend and Foe,276
Bloc Party,Silent Alarm,275
Stephen Malkmus,Face the Truth,274
Bon Iver,"For Emma, Forever Ago",274
Elliott Smith,Elliott Smith,273
The Helio Sequence,Keep Your Eyes Ahead,273
Yo La Tengo,And Then Nothing Turned Itself Inside-Out,272
The Cars,Greatest Hits,272
They Might Be Giants,A User's Guide,271
Dee Dee King,Standing In The Spotlight,271
Beastie Boys,Ill Communication,270
Silver Jews,Tanglewood Numbers,270
Dinosaur Jr.,Bug,269
Björk,Homogenic,269
Otis Redding,Otis Blue,269
The Notwist,"The Devil, You + Me",269
Grandaddy,The Sophtware Slump,269
Radiohead,Hail to the Thief,268
John Fahey,The Transfiguration Of Blind Joe Death,267
Ween,The Mollusk,266
Rivers Cuomo,Alone II,265
The New Pornographers,Twin Cinema,264
Joanna Newsom,Have One on Me,262
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders From Mars,262
