artist,play_count
The Kinks,2770
David Bowie,2600
The Beatles,2480
Bob Dylan,2432
Belle and Sebastian,2366
Radiohead,2318
Yo La Tengo,1975
Pavement,1662
The Rolling Stones,1576
Frank Zappa,1547
Wilco,1522
Guided by Voices,1507
Modest Mouse,1482
The Beach Boys,1400
The Fiery Furnaces,1375
The Velvet Underground,1361
The Clash,1339
Frank Sinatra,1323
Neil Young,1323
Spoon,1300
The Flaming Lips,1232
Talking Heads,1178
Animal Collective,1147
Elvis Costello,1138
Led Zeppelin,1099
Weezer,1098
Badly Drawn Boy,1090
Devo,1080
Beck,1059
Blur,1020
Ween,1013
Built to Spill,1004
Arcade Fire,965
The National,955
Vampire Weekend,933
R.E.M.,920
The Shins,871
Teenage Fanclub,869
The Zombies,864
Sufjan Stevens,837
Boat,836
The Smiths,834
Prince,827
John Lennon,802
Andrew Bird,799
Randy Newman,783
Broken Social Scene,780
of Montreal,760
Real Estate,760
Grandaddy,759
La casa azul,748
Frank Black,735
Björk,734
Roxy Music,723
Pink Floyd,721
Hüsker Dü,718
Pixies,718
The Residents,708
Elliott Smith,703
Islands,703
Johann Sebastian Bach,702
The Hives,701
The Smashing Pumpkins,696
Brian Eno,686
Fleet Foxes,684
Surfer Blood,684
Rivers Cuomo,683
The Doors,678
Miles Davis,676
Sigur Rós,668
The Byrds,664
Stevie Wonder,656
The Replacements,645
Beastie Boys,642
Electric Light Orchestra,641
Johnny Cash,641
Queen,640
The Magnetic Fields,634
Buddy Holly,630
They Might Be Giants,630
The Strokes,629
Nirvana,626
Tenacious D,622
The Notwist,617
Why?,609
Lou Reed,600
The Band,597
Oasis,596
The Unicorns,594
Wavves,593
Smog,591
Phish,588
The Streets,587
Interpol,572
Ghostface Killah,569
Green Day,568
Neutral Milk Hotel,565
The Police,564
Gorillaz,557
Nick Drake,556
Panda Bear,555
Thelonious Monk,555
The Cure,548
Dinosaur Jr.,543
My Morning Jacket,538
Fountains of Wayne,536
Sonic Youth,536
Clap Your Hands Say Yeah,535
Dirty Projectors,535
Pearl Jam,535
Creedence Clearwater Revival,523
Grizzly Bear,522
Chuck Berry,520
Andrew W.K.,519
Madvillain,519
Townes Van Zandt,518
Pedro the Lion,513
Philip Glass,513
Silver Jews,512
The Dismemberment Plan,512
Robert Johnson,511
The Who,511
Nada Surf,509
Warren Zevon,508
XTC,508
No Age,505
Eels,503
Deerhunter,502
The Libertines,502
Kanye West,501
Talk Talk,500
Can,499
Girl Talk,498
Paul Simon,497
Air,495
Supergrass,492
OutKast,491
Paul McCartney,491
The New Pornographers,487
Kraftwerk,486
Sparklehorse,486
The Clientele,485
My Bloody Valentine,484
Travis,482
The Microphones,481
The Beta Band,480
Simon & Garfunkel,476
Stephen Malkmus,476
Band of Horses,474
Os Mutantes,473
Beach House,469
The Stone Roses,469
Bruce Springsteen,468
The Bats,468
Girls,466
The Avalanches,465
Deerhoof,464
Coldplay,463
Grateful Dead,462
Van Morrison,462
Wu-Tang Clan,457
Boards of Canada,454
Depeche Mode,450
Big Star,447
Phantom Planet,447
Otis Redding,446
Dr. Octagon,445
Sam Cooke,441
Jurassic 5,440
The Walkmen,440
New York Dolls,438
Public Enemy,438
Jimi Hendrix,437
Crowded House,436
Gnarls Barkley,433
The Jesus and Mary Chain,433
Captain Beefheart & His Magic Band,432
Wolf Parade,432
The Notorious B.I.G.,431
Howlin' Wolf,424
GZA/Genius,422
Sly & The Family Stone,422
Ben Kweller,419
Serge Gainsbourg,411
Cat Power,405
Minutemen,404
Charlie Parker,401
Bon Iver,400
Sian Alice Group,400
Mel Tormé,398
Muddy Waters,398
DJ Shadow,397
Frédéric Chopin,397
Leonard Cohen,397
Wolfgang Amadeus Mozart,396
The Cars,392
The Stooges,392
Pete Yorn,391
Xiu Xiu,388
Hot Hot Heat,387
