artist,track,play_count
Wolf Parade,Modern World,133
The Kinks,Waterloo Sunset,126
Badly Drawn Boy,Once Around the Block,117
The Zombies,This Will Be Our Year,113
The Kinks,Days,104
Nada Surf,Blonde on Blonde,102
The Shins,New Slang,102
Belle and Sebastian,Dress Up in You,95
The Kinks,The Village Green Preservation Society,95
The Dismemberment Plan,Gyroscope,94
Phish,Farmhouse,92
Ween,What Deaner Was Talkin' About,92
Animal Collective,Summertime Clothes,91
Electric Light Orchestra,Sweet Talkin' Woman,91
Teenage Fanclub,I Don't Want Control Of You,89
Radiohead,Idioteque,89
Menomena,Rotten Hell,87
The Cars,Just What I Needed,85
Clap Your Hands Say Yeah,Over and Over Again (Lost and Found),85
Pavement,Major Leagues,84
Arcade Fire,Intervention,83
The Zombies,"I Want Her, She Wants Me",82
Surfer Blood,Floating Vibes,81
The Kinks,Victoria,80
The Pipettes,One Night Stand,79
La casa azul,Quiero Parar,79
My Morning Jacket,What a Wonderful Man,79
The Unicorns,Ready To Die,78
The Zombies,Beechwood Park,77
Queen,Good Old-Fashioned Lover Boy,77
David Bowie,Life on Mars?,77
Spoon,I Turn My Camera On,75
Can,Vitamin C,75
Built to Spill,Center of the Universe,74
Fleet Foxes,White Winter Hymnal,73
The Hives,A Little More For Little You,72
Sparklehorse,Gold Day,72
Can,I'm So Green,72
Surfer Blood,Take It Easy,72
The Band,The Weight,72
Crowded House,Fall at Your Feet,71
La casa azul,Prefiero Bailar,71
Wu-Tang Clan,Shame on a Nigga,71
Erasure,A Little Respect,70
Gorillaz,Last Living Souls,70
The Hives,No Pun Intended,70
Gnarls Barkley,Crazy,69
Wilco,"Jesus, Etc.",69
Panda Bear,Ponytail,69
The Fiery Furnaces,Spaniolated,69
Built to Spill,Temporarily Blind,69
XTC,Ballet for a Rainy Day,68
The Notwist,Consequence,68
Thelonious Monk,Epistrophy,68
Neutral Milk Hotel,In the Aeroplane Over the Sea,68
Neutral Milk Hotel,Communist Daughter,67
Beck,Lazy Flies,67
The Notwist,One With the Freaks,67
Led Zeppelin,Tangerine,67
Broken Social Scene,Anthems for a Seventeen Year Old Girl,66
Teenage Fanclub,Did I Say,66
Oasis,Digsy's Dinner,66
Yo La Tengo,Mr. Tough,66
Ben Kweller,Magic,65
Modest Mouse,World at Large,65
Belle and Sebastian,The Blues Are Still Blue,64
Queen,Don't Stop Me Now,63
Buddy Holly,Early In The Morning,63
The Dismemberment Plan,Girl O' Clock,63
The Unicorns,I Don't Wanna Die,63
The Jam,Pretty Green,63
Spoon,Something to Look Forward To,63
The Hives,Abra Cadaver,62
The Dismemberment Plan,I Love a Magician,62
The Velvet Underground,Pale Blue Eyes,62
Can,Sing Swan Song,62
The Unicorns,The Clap,62
Fleet Foxes,Tiger Mountain Peasant Song,62
The Fiery Furnaces,Chief Inspector Blancheflower,61
Björk,Frosti,61
Fleet Foxes,Meadowlarks,61
Roxy Music,Same Old Scene,61
Paul McCartney,Young Boy,61
Xiu Xiu,Brian the Vampire,60
The Unicorns,Ghost Mountain,60
Xiu Xiu,"I Luv the Valley, OH!",60
The Unicorns,Let's Get Known,60
The Notorious B.I.G.,Suicidal Thoughts,60
The Kinks,Sunny Afternoon,60
Doves,Where We're Calling From,60
Arcade Fire,Keep the Car Running,59
The Dismemberment Plan,Memory Machine,59
Paul Simon,Mother and Child Reunion,59
Can,Spoon,59
Surfer Blood,Swim,59
The Replacements,Tommy Gets His Tonsils Out,59
The Dismemberment Plan,8½ Minutes,58
Grizzly Bear,Foreground,58
Belle and Sebastian,"Get Me Away from Here, I'm Dying",58
The Doors,Love Me Two Times,58
Vampire Weekend,Mansard Roof,58
Can,One More Night,58
Wilco,Poor Places,58
