id,name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng,place_id,place,place_full,place_latlng
6c85f4c3-026c-4c16-9a7c-f546f42ed0fb,Guided by Voices,Group,,US,1983,2014-09,Dayton,,,United States,,,a55188f6-e976-499b-97b2-735985458216,Dayton,"Dayton, Montgomery County, Ohio, United States",
ad82dd72-0df3-4a09-8d7a-1af9c9e80522,Patsy Cline,Person,Female,US,1932-09-08,1963-03-05,Winchester,,,United States,,,17160c4f-5390-453c-a901-0bb5529f186e,Winchester,"Winchester, Virginia, United States",
98f42ac3-7892-475e-ab47-0a55a3478b18,Radiator Hospital,Group,,,,,,,,,,,,,,
0110e63e-0a9b-4818-af8e-41e180c20b9a,Devendra Banhart,Person,Male,US,1981-05-30,,Houston,,,United States,,,c920948b-83e3-40b7-8fe9-9ab5abaac55b,Houston,"Houston, Harris County, Texas, United States",
fa690c23-512b-4cad-aa32-c318f4228947,Nico,Person,Female,RO,1970-02-01,,,,,Romania,,,61ed84b8-5a10-30a7-8376-ccd51801d6d1,Romania,Romania,
ea075268-e5ea-40f7-b9c3-68b039218a88,The Apples in Stereo,Group,,US,1993,,Denver,,,United States,,,fc1aee9a-f1a8-45dc-8820-af6b5d7f7450,Denver,"Denver, Colorado, United States",
99524243-dc2e-4bf3-82c0-72395391d21f,Scott Walker,Person,Male,US,1943-01-09,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
3ff72a59-f39d-411d-9f93-2d4a86413013,The Magnetic Fields,Group,,US,1990,,Boston,,,United States,,,e331bfdf-b908-429c-a79b-710cf9c06abb,Boston,"Boston, Suffolk County, Massachusetts, United States",
3533dea4-218c-4fc9-ab6e-2e3dc0ffde6e,Pete Yorn,Person,Male,US,1974-07-27,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
a41ac10f-0a56-4672-9161-b83f9b223559,Van Morrison,Person,Male,,1945-08-31,,Belfast,,,Northern Ireland,,,057ce294-2684-46fd-aee1-4d8c6b4bf4ef,Belfast,"Belfast, County Down, Northern Ireland, Ireland",
331ce348-1b08-40b9-8ed7-0763b92bd003,Roxy Music,Group,,GB,1971,,London,,,United Kingdom,,,f03d09b3-39dc-4083-afd6-159e3f0d462f,London,"London, England, United Kingdom",
92046be7-0927-4835-a4ed-a90416747d53,Cornershop,Group,,GB,1991,,Leicester,,,United Kingdom,,,806b9b3b-5daf-4eaa-807d-7a2a29cde0da,Leicester,"Leicester, England, United Kingdom",
5e290025-aca1-4035-b26d-bd36e105eb52,Connan Mockasin,Person,Male,NZ,,,,,,New Zealand,,,8524c7d9-f472-3890-a458-f28d5081d9c4,New Zealand,New Zealand,
ff95eb47-41c4-4f7f-a104-cdc30f02e872,Brian Eno,Person,Male,GB,1948-05-15,,Woodbridge,,,United Kingdom,,,80915c8f-137c-4f54-86f8-f59567caf217,Woodbridge,"Woodbridge, Suffolk, England, United Kingdom",
7afa6a05-5a02-48a7-9ce9-b6335987b640,low,Group,,,,,,,,,,,,,,
f58384a4-2ad2-4f24-89c5-c7b74ae1cce7,King Gizzard & The Lizard Wizard,Group,,AU,,,Melbourne,,,Australia,,,b4e9352c-8edf-4911-8fa3-e852afa30501,Melbourne,"Melbourne, Victoria, Australia",
be04c6a7-f7e8-4236-8124-3883d05eb259,Dead Confederate,Group,,,2006,,Augusta,,,Athens,,,f5489a89-458e-4a1a-8cec-f327a6b9dde0,Augusta,"Augusta, Richmond County, Georgia, United States",
11506a28-0551-4ed5-8814-510fb81d31bf,Donnie & Joe Emerson,Group,,US,1979,1979,Fruitland,,,United States,,,ce6f1fef-b740-4103-b623-bc27e46f0fde,Fruitland,"Fruitland, Stevens County, Washington, United States",
2cc97fda-63f6-4ea7-9100-7ca3e51bd881,Magnolia Electric Co.,Group,,US,2003,,Bloomington,,,United States,,,6f02f729-af8b-485f-902a-da3ac6c09de3,Bloomington,"Bloomington, Monroe County, Indiana, United States",
