name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng
Self,Group,,US,1993,,Murfreesboro,"Murfreesboro, Rutherford County, Tennessee, United States",,United States,,
The Glands,Group,,US,,,,,,United States,,
The Monks,Group,,GB,,,,,,United Kingdom,,
Deerhunter,Group,,US,2001,,Atlanta,"Atlanta, Fulton County, Georgia, United States",,United States,,
大塚愛,Person,Female,JP,1982-09-09,,,,,Japan,,
Pylon,Person,,JP,,,,,,Japan,,
Women,Group,,CA,2007,,,,,Canada,,
Elton Motello,Group,,BE,,,,,,Belgium,,
Felt,Group,,US,2004-09-01,,Minneapolis,"Minneapolis, Hennepin County, Minnesota, United States",,United States,,
The Lemonheads,Group,,US,1984,,Boston,"Boston, Suffolk County, Massachusetts, United States",,United States,,
Peggy Honeywell,Person,,,,,,,,,,
Guided by Voices,Group,,US,1983,2014-09,Dayton,"Dayton, Montgomery County, Ohio, United States",,United States,,
Patsy Cline,Person,Female,US,1932-09-08,1963-03-05,Winchester,"Winchester, Virginia, United States",,United States,,
Radiator Hospital,Group,,,,,,,,,,
Ogre You Asshole,Group,,JP,,,,,,Japan,,
Rie fu,Person,Female,JP,1985-01-11,,,,,Japan,,
Plenty,,,,,,,,,,,
oh sunshine,,,,,,,,,,,
Robert de Visée,Person,Male,FR,,,,,,France,,
Ellen Taaffe Zwilich,Person,Female,US,1939-04-30,,Miami,"Miami, Miami-Dade County, Florida, United States",,United States,,
Pusher,Group,,MY,,,,,,Malaysia,,
Tegan and Sara,Group,,CA,1998,,Calgary,"Calgary, Alberta, Canada",,Canada,,
Didrick,Person,Male,,,,,,,,,
Criolo,Person,Male,BR,,,,,,Brazil,,
Nick Jonas,Person,Male,US,1992-09-16,,Dallas,"Dallas, Dallas County, Texas, United States",,United States,,
Reik,Group,,MX,2003,,,,,Mexico,,
D.R.A.M.,Person,Male,,1988,,Germany,Germany,,Hampton,,
PARTYNEXTDOOR,Person,,CA,,,,,,Canada,,
M83,Group,,FR,2001,,Antibes,"Antibes, Alpes-Maritimes, Provence-Alpes-Côte-d'Azur, France",,France,,
Sturgill Simpson,Person,Male,,1978-06-08,,Jackson,"Jackson, Breathitt County, Kentucky, United States",,Nashville,,
Galantis,Group,,SE,2012-03-01,,Stockholm,"Stockholm, Stockholm, Sweden",,Sweden,,
Matt Duke,Person,Male,US,1985-01-20,,,,,United States,,
Volbeat,Group,,DK,2001-10,,Copenhagen,"Copenhagen, Capital Region of Denmark, Denmark",,Denmark,,
Ina Wroldsen,Person,Female,,1984,,Sandefjord,"Sandefjord, Vestfold, Norway",,London,,
Bombs Away,Group,,,,,,,,,,
Jennifer Lopez,Person,Female,US,1969-07-24,,The Bronx,"The Bronx, New York, New York, United States",,United States,,
Hundred Waters,Group,,US,2011,,Gainesville,"Gainesville, Alachua County, Florida, United States",,United States,,
HONNE,Group,,GB,,,,,,United Kingdom,,
Paula,,,,,,,,,,,
Kaytranada,Person,Male,,1992-08-25,,Port-au-Prince,"Port-au-Prince, Ouest, Haiti",,Quebec,,
Spirit,Group,,US,1967,1997,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Antwon,,,,,,,,,,,
Nipsey Hussle,Person,Male,US,1985-08-15,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Toquinho,Person,Male,BR,1946-07-06,,,,,Brazil,,
