id,name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng,place_id,place,place_full,place_latlng
3d9b0101-da55-4894-8781-9a7c37e9c97b,Elias Rahbani,,,,,,,,,,,,,,,
72868699-65be-4b38-b593-987994ae8163,Bekbolat Tilewkhanov,,,,,,,,,,,,,,,
8a6158b9-2b7e-4f91-bfcd-9a8bac754220,Dub Addiction,Group,,KH,,,,,,Cambodia,,,ee26e886-87f5-33a2-8e8e-f9591490426d,Cambodia,Cambodia,
0ec55c00-c329-455f-a1ec-faf968106136,Savia Andina,Group,,BO,1975,,,,,Bolivia,,,a5aed4a3-8ce1-3ab3-bfee-b008cff6b857,Bolivia,Bolivia,
93084f73-df1a-4fb1-ab81-cf46135b38d2,Al Agami,Person,Male,DK,1972-03-06,,Sudan,,,Denmark,,,038ad5ba-df6d-35ad-ba12-efe6edd7d0a4,Sudan,Sudan,"15.45374395,29.7951525192217"
619d09ef-1322-4305-abb1-2db598c507ec,Safwan Bahlawan,Person,,,,,,,,,,,,,,
21da1d20-c6e4-40db-b783-e666b438f251,Alaa Hussein Saber,Person,,,,,,,,,,,,,,
c1438d83-dc43-4bb2-98e8-e27a8e19aec7,Ahmad Fat'Hi,Person,,YE,,,,,,Yemen,,,e8e9ecdc-19d3-360b-8f1a-9c80e6c12830,Yemen,Yemen,"16.3471243,47.8915271"
a6822b25-0f9c-4525-936f-dbcf18c0e315,Abadi al-Johar,Person,,,,,,,,,,,,,,
d783ec17-4dc2-4088-96ff-b762ebec4e82,Mamdoh El Gebaly,Person,,,,,,,,,,,,,,
caa89c09-0e7e-49ba-a38b-5782c36906a5,Telek,Person,,PG,1959,,,,,Papua New Guinea,,,2366f623-b236-3073-bbfe-c26d6d6f195f,Papua New Guinea,Papua New Guinea,"-5.6816068,144.2489081"
7b2c6a32-fd9e-4d82-bed9-e2263a8b184a,Salim bin Ali Al-Maqrashi,Person,,,,,,,,,,,,,,
f644d496-87f8-42d4-aeff-71c5708e8a01,Remmy Ongala,Person,Male,TZ,1947,2010-12-13,Maniema,,,Tanzania,,,d2fcebc5-cbfe-4f26-b955-97ff32d0610e,Maniema,"Maniema, Democratic Republic of the Congo","-2.49551205,25.952150296099"
b29a3b55-785c-4072-9daf-0153cac864b6,Jean-Philippe Rameau,Person,Male,FR,1683-09-25,1764-09-12,Dijon,,,France,,,adbd2d98-ba5b-4eed-b559-96acfddc9804,Dijon,"Dijon, Côte-d'Or, Bourgogne, France","47.3215806,5.0414701"
70f2a7c2-fdfe-4d2e-99e3-fc2863b5f8ac,Abdel Ali Slimani,Person,Male,GB,,,Algiers,,,United Kingdom,,,cff017bc-6ebc-4938-b8f8-8ad26b8525a0,Algiers,"Algiers, Alger, Algeria","36.775348,3.0600655"
e5d928e1-b020-4dd8-9497-7aaee1b337bd,Nadia Ali,Person,Female,US,1980-08-03,,Tripoli,,,United States,,,3a6ea8d9-8244-4d90-9ef6-1cd8260ecbe0,Tripoli,"Tripoli, Ţarābulus, Libya","32.77325405,13.4141472054133"
cae509bf-bc17-4c90-bf83-ea72acb9f3bc,Tariq,,,,,,,,,,,,,,,
0b91b4e7-5c97-4446-8665-27fe6026cd2f,كاظم الساهر,Person,Male,IQ,1958-09-12,,,,,Iraq,,,b0525ccb-15e9-3c56-81fa-471db3b31cfa,Iraq,Iraq,
4ba66b37-a9dc-45fe-9c56-8db63a6d53e8,Rahim AlHaj,Person,Male,US,1968,,Baghdād,,,United States,,,576ff1d1-e985-4bce-a451-d91849ca864c,Baghdād,"Baghdād, Iraq","33.3024248,44.3787992"
ffe00b8d-db0b-45e8-97df-c57175c7b9e1,Ehsan Aman,Person,,,,,Helmand,,,,,,ba159056-05e7-4ba8-b956-2b9d8ebcb0a0,Helmand,"Helmand, Afghanistan","31,64"
43e8060e-a8a4-40bb-8414-bc98d70090ef,Mansour,Person,Male,,1970-07-29,,Tehran,,,,,,aaa5899f-f0b7-4bc1-bae4-aba7f6770402,Tehran,"Tehran, Tehrān, Iran","35.686172,51.4223519"
2116157d-d0bb-46bb-92ea-22ae7cd59438,Mohamed Lamine,Person,Male,DZ,1970-12-04,,Algiers,,,Algeria,,,cff017bc-6ebc-4938-b8f8-8ad26b8525a0,Algiers,"Algiers, Alger, Algeria","36.775348,3.0600655"
77229bca-1a90-4015-bb80-29745aa0232f,Mohammed Abdel Wahab,Person,Male,EG,1910,1991-05-03,Al Qāhirah,,,Egypt,,,fda26597-dd64-4f6e-9334-fcfea414f48a,Al Qāhirah,"Al Qāhirah, Egypt","30.0488185,31.2436663"
9d9834c4-15a6-4130-9c24-8a452192e138,Gerald Jay Markoe,Person,Male,US,1941-03-22,2009-03-13,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
9e4855dc-84fd-4066-b8e4-b6b52bf8e3f8,Hossam Ramzy,Person,Male,EG,1953-12-15,,Al Qāhirah,,,Egypt,,,fda26597-dd64-4f6e-9334-fcfea414f48a,Al Qāhirah,"Al Qāhirah, Egypt","30.0488185,31.2436663"
6e13d784-ae6a-40d9-8c3b-037e16489005,Siissisoq,Group,,,1998,1998,Uummannaq,,,,,,83eb005f-fb60-47c6-a5f5-9240acabbf7d,Uummannaq,"Uummannaq, Qaasuitsup Kommunia, Greenland","70.6748905,-52.1268736"
1d935b29-abd7-40c6-93de-6b24ab4ddf16,Nuuk Posse,Group,,,1991,,Nuuk,,,,,,ca30356e-58c7-4a76-baf1-088bd4bdc120,Nuuk,"Nuuk, Kommuneqarfik Sermersooq, Greenland","64.175029,-51.7355385"
a2185abd-ecc3-4db8-b1c8-2c51b2ee73af,Fatme Serhan,,,,,,,,,,,,,,,
8bd1e3c9-780a-4bbe-b59b-39e4aa2eca5a,Elissa,Person,Female,LB,1972-10-27,,,,,Lebanon,,,8138206e-5786-3f86-a53b-19a7303e7419,Lebanon,Lebanon,
375e25cc-67cf-4233-b7a7-f2129bdad9c5,Ragheb Alama,Person,Male,,1962-06-07,,,,,,,,,,,
f5f09e03-f3eb-4edf-9347-7da98fe807c3,Yos Olarang,Person,,KH,,,,,,Cambodia,,,ee26e886-87f5-33a2-8e8e-f9591490426d,Cambodia,Cambodia,
6f297c66-464e-4aa6-b815-3a17991dce1d,Gülşen,Person,Female,TR,,,,,,Turkey,,,d3be28b4-41f7-3752-8a05-ed45e1d1e492,Turkey,Turkey,"38.9597594,34.9249653"
2674597f-6c40-47cc-b980-67f94725f7a7,Najwa Karam,Person,Female,LB,,,,,,Lebanon,,,8138206e-5786-3f86-a53b-19a7303e7419,Lebanon,Lebanon,
eac90cfb-51f7-4602-9646-c8c6608f6a33,ميريام فارس,Person,Female,LB,1983-05-03,,Lebanon,,,Lebanon,,,8138206e-5786-3f86-a53b-19a7303e7419,Lebanon,Lebanon,
78dee9f5-05f8-43f4-a316-d2353b97f011,Giacomo Bondi,Person,,,,,,,,,,,,,,
e83e4549-ed18-4edc-b1fa-7dff8fffdf26,Sawdakas Balmagambetov,Person,,,,,,,,,,,,,,
e81426ec-9e10-40a6-bbc8-100ef3c0f63e,Rahbani Brothers,Group,,,,,,,,,,,,,,
fc5d1fe8-fe81-43d0-9279-29d1c0c7003d,Ali Al Deek,,,,,,,,,,,,,,,
76abcf9b-920c-4d63-a108-3736f2134d7a,Los Kjarkas,Group,,BO,1965,,Cochabamba,,,Bolivia,,,5bba7ec1-fc21-4aa5-ba3a-ae8e7c367258,Cochabamba,"Cochabamba, Bolivia","-17.3935418,-66.1570138"
d37c9657-430d-4cea-adf6-04ec8132e9db,Rausan Orazbayeva,Person,,,,,,,,,,,,,,
e29614b4-0143-45bd-9feb-6f8129245d71,Wael Kfoury,Person,Male,,1974-09-15,,,,,,,,,,,
d3fde2d2-a23b-4eba-a34b-172f65f04fee,Yara,Person,Female,VE,,,,,,Venezuela,,,2ac90d6b-04fa-3006-8a91-89da01032365,Venezuela,Venezuela,"8.0018709,-66.1109317"
d9142cb9-9be2-4936-b84a-c0fc4bb5494f,Dr. Samy Farag,,,,,,,,,,,,,,,
900b7324-de16-4200-bdff-cfb9d29e3aea,Sudakaya,Group,,EC,2002,,,,,Ecuador,,,967abc0e-f680-3cde-95d0-0b79b977d410,Ecuador,Ecuador,"-1.3397667,-79.3666964"
f2d763ab-5c72-492b-b996-5479b1619e6b,Paradox,Group,,DE,,,,,,Germany,,,85752fda-13c4-31a3-bee5-0e5cb1f51dad,Germany,Germany,
51b14403-f811-4407-8877-0c2402c170fa,ต่าย อรทัย,Person,,,1980-03-27,,,,,,,,,,,
85a694a0-dde9-4d79-a3b5-11950be0f3de,Tabu Ley Rochereau,Person,Male,CD,1940-11-13,2013-11-30,Bandundu,,,Democratic Republic of the Congo,,,d4b0a378-2a6e-4f6a-86b3-2ee51a348ae4,Bandundu,"Bandundu, Democratic Republic of the Congo","-4.43266395,18.2929675479351"
97802f77-0e49-47fe-8f5b-6bd774439f0c,Aytzan Toqtaganov,Person,,,,,,,,,,,,,,
d0cc2eb5-fd1d-4c1b-8d87-a35990d39ab2,แช่ม แช่มรัมย์,,,,,,,,,,,,,,,
a54ed62c-2ba9-4dd2-a6a5-a5d9af49d693,DALI,Group,,JP,1992,1992,,,,Japan,,,2db42837-c832-3c27-b4a3-08198f75693c,Japan,Japan,
a2051741-6ffc-4fe2-99f0-9835aaccb3b9,Säwle Zanpeyisova,Person,,,,,,,,,,,,,,
2f47f89c-0b74-4ebc-b32d-f52c9b1b497e,Verde 70,,,,,,,,,,,,,,,
21de7c16-13e0-466a-ae1b-d6eb3ed2085a,Emad Sayyah,Person,,,,,,,,,,,,,,
c341d757-5389-4536-8028-8992ff213e72,Kurban,Group,,TR,1995,,,,,Turkey,,,d3be28b4-41f7-3752-8a05-ed45e1d1e492,Turkey,Turkey,"38.9597594,34.9249653"
586cae69-3d3b-440f-9c26-2ea253ccff74,Hasna,Person,Female,MA,1978-06-26,,Casablanca,,,Morocco,,,afabefb2-4d4e-42ee-9edc-0a86ced989f9,Casablanca,"Casablanca, Grand Casablanca, Morocco","33.5949733,-7.6188008"
b440eccd-3200-47c6-919e-7b0a1ccb8de7,Mindset,Group,,,1994,,Virginia Beach,,,Virginia,,,21834e17-8606-4e10-af5c-76d5d668eba9,Virginia Beach,"Virginia Beach, Virginia, United States","36.8529841,-75.9774182"
b3fb0ca8-857c-458a-bfde-3f2ec201a7c7,Juan Fernando Velasco,Person,Male,XW,1972-01-17,,Ecuador,,,[Worldwide],,,967abc0e-f680-3cde-95d0-0b79b977d410,Ecuador,Ecuador,"-1.3397667,-79.3666964"
942b1989-b229-4880-8722-5f89dd1a4d6f,Wara,Group,,BO,,,,,,Bolivia,,,a5aed4a3-8ce1-3ab3-bfee-b008cff6b857,Bolivia,Bolivia,
0b350d74-466e-4668-9181-a419f0a9a6d7,ตั๊กแตน ชลดา,,,,,,,,,,,,,,,
02d2ef00-8faf-4b57-bfc7-9e0a2157643d,La Derecha,,,,,,,,,,,,,,,
d362d812-e49e-42b4-94cc-c4ed26623be0,Lula,Group,,IT,,,,,,Italy,,,c6500277-9a3d-349b-bf30-41afdbf42add,Italy,Italy,
1f33faf9-c85a-4a42-8692-6a093f83ea3c,ยอดรัก สลักใจ,Person,,,,,,,,,,,,,,
7bb67da1-16ab-4535-9c26-8683341bd8dc,Fernando Pacheco,Person,Male,,,,,,,,,,,,,
b437dcdb-f7ed-4064-b240-1e36c6801c27,Instinct,Person,Male,GB,,,,,,United Kingdom,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,United Kingdom,
04da5502-d15b-493a-b277-4f9ccf45b96e,Joseph Attieh,,,,,,,,,,,,,,,
3a9ac4e7-d88b-4c40-a0be-d9fcf68afe40,Meas Samon,,,,,,,,,,,,,,,
45b9c056-470b-4ebe-9aae-d4df4dcb58b3,el sie7e,Group,,,2001,2011,Bogotá,,,Bogotá,,,6f85c2b6-4250-468b-9bd8-300fd8b451ad,Bogotá,"Bogotá, Colombia","4.5980478,-74.0760866"
7db8a9c4-afec-4f37-9021-b451b29f5b7c,Potato,Group,,TH,2001,,,,,Thailand,,,ce209e56-cda5-358e-96db-830e3405b675,Thailand,Thailand,"14.8971921,100.83273"
49a26b6f-a957-49f4-a67c-9f32b4ee053f,Hijaz,Group,,BE,,,,,,Belgium,,,5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc,Belgium,Belgium,
d1fbacfd-d78a-445b-aa5d-ff2118f70547,Hathor,,,,,,,,,,,,,,,
419bd6b1-6cc2-4f69-a196-1e774789387e,Jorge Luis Del Hierro,,,,,,,,,,,,,,,
c5fb9677-b013-4cd7-b89b-bb6e73ad851b,نانسي عجرم,Person,Female,LB,1983-05-16,,Beirut,,,Lebanon,,,1d9b2b8d-824b-406f-b6c0-02a9ccd312b8,Beirut,"Beirut, Beyrouth, Lebanon","33.8959203,35.47843"
c20b59a7-8193-4cc6-85b5-0672b3aabc13,Ro*Cola Bacalao,Group,,,,,,,,,,,,,,
69bf2eaf-5911-4be3-a9bc-9546824cc86a,Musketeers,,,,,,,,,,,,,,,
513730b1-3b97-47fd-89c3-66b3b3c5446c,Sergio Sacoto,Person,Male,EC,,,,,,Ecuador,,,967abc0e-f680-3cde-95d0-0b79b977d410,Ecuador,Ecuador,"-1.3397667,-79.3666964"
f07174a8-a973-481a-a701-7c20e4375f50,Vedette,Group,,,2006,,,,,,,,,,,
62ca3ae9-2ab1-409e-81e8-a0216bc2fc17,บิ๊กแอส,Group,,,1997,,,,,,,,,,,
5efc7a06-d7a1-48bc-b982-c2c09e2787d8,Ros Serey Sothea,Person,Female,KH,1948,1977,Baat Dambang [Bătdâmbâng],,,Cambodia,,,b5965071-3d34-414e-b364-35c1d7a690b9,Baat Dambang [Bătdâmbâng],"Baat Dambang, Cambodia","13.09573,103.2022055"
e4767ef3-01e5-40e1-beb3-64f2acbe5fcc,Melhem Zein,,,,,,,,,,,,,,,
ebd4a90b-95ed-404f-af01-23c220e71e39,Lipta,,,,,,,,,,,,,,,
fee6b9ec-a409-4aaa-8431-abe4e136f21e,Aygül Qosanova,Person,,,,,,,,,,,,,,
0c02953c-9f2c-433b-95f1-c3d75a0ff15b,Zulma Yugar,Person,Female,BO,1952-01-06,,,,,Bolivia,,,a5aed4a3-8ce1-3ab3-bfee-b008cff6b857,Bolivia,Bolivia,
f7a377d0-b03e-44ef-9039-8fcda3b892f3,Mirella Cesa,Person,,,1984-12-18,,,,,,,,,,,
04484777-b009-4240-bcff-c9f445e7c6a1,Bajo Sueños,Group,,,,,,,,,,,,,,
e929cd6c-978b-453e-9d23-6000fa89bc92,Derek Fiechter,Person,Male,,,,,,,Bluffton,,,1dc19a70-4995-49b4-ae9b-4363274e469a,Bluffton,"Bluffton, Wells County, Indiana, United States","40.7386579,-85.1716367"
95618add-be0e-4bd4-b55f-5f1a9a1511b3,Le Grand Kalle,Person,Male,CD,1930-12-16,1983-02-11,Bas-Congo,,,Democratic Republic of the Congo,,,584afc8e-0263-4ee8-82a2-9b2e06e60c91,Bas-Congo,"Bas-Congo, Democratic Republic of the Congo","-5.17743155,14.3883908479934"
457cf96e-238e-4da0-a9e5-54b2cfdda179,Ghady,,,,,,,,,,,,,,,
63761169-65e3-4274-ab14-d14cc45d510a,Liev Tuk,,,,,,,,,,,,,,,
f2a4a34f-8a0d-4470-af24-e67157042802,Sahiro,Group,,,,,,,,,,,,,,
466ed42d-ad3a-4bb8-a8bd-c84c143152f8,Season Five,,,,,,,,,,,,,,,
f1f8038c-ccc2-40c9-a4b6-4bdf002a36ac,Armada De Juguete,,,,,,,,,,,,,,,
224af981-839b-441c-b5f9-57656c0f408b,Guardarraya,Group,,,2000,,,,,,,,,,,
