image,stadium,city,state,team,conference,capacity,built,expanded
Michigan Stadium 2011.jpg,Michigan Stadium,Ann Arbor,MI,Michigan,Big Ten,"107,601[98]",1927,2015
,,,,,,,,
Beaver Stadium inside.jpg,Beaver Stadium,University Park,PA,Penn State,Big Ten,"106,572[12]",1960,2001
,,,,,,,,
"Ohio Stadium, Columbus.jpg",Ohio Stadium,Columbus,OH,Ohio State,Big Ten,"104,944[106]",1922[108],2014[108]
,,,,,,,,
Kyle Field-empty 2006.jpg,Kyle Field,College Station,TX,Texas A&M,SEC,"102,733[76]",1927[76],2015[76]
,,,,,,,,
Neyland and downtown aerial.JPG,Neyland Stadium,Knoxville,TN,Tennessee,SEC,"102,455[102]",1921[103],2010[103]
,,,,,,,,
Tiger Stadium at Night.jpg,Tiger Stadium,Baton Rouge,LA,LSU,SEC,"102,321[145]",1924[147],2014[147]
University of Alabama Bryant-Denny Stadium Panorama.jpg,Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,"101,821[25]",1929[25],2010[25]
,,,,,,,,
University of Texas vs. Florida Atlantic football game Panorama @ Darrell K Royal Texas Memorial Stadium.jpg,Darrell K Royal–Texas Memorial Stadium,Austin,TX,Texas,Big 12,"100,119[40]",1924[41],2009[41]
,,,,,,,,
Los Angeles Memorial Coliseum.JPG,Los Angeles Memorial Coliseum,Los Angeles,CA,Southern California,Pac-12,"93,607",1923,2008
,,,,,,,,
SanfordNorthStandsPanorama.jpg,Sanford Stadium,Athens,GA,Georgia,SEC,"92,746[129]",1929[129],2004[129]
Rose Bowl July 2007.jpg,Rose Bowl,Pasadena,CA,UCLA,Pac-12,"92,542[122]",1921,1949
,,,,,,,,
Ben Hill Griffin Stadium exterior.jpg,Ben Hill Griffin Stadium,Gainesville,FL,Florida,SEC,"88,548[14]",1930[14],2003[14]
,,,,,,,,
Jordan-Hare Stadium west.jpg,Jordan–Hare Stadium,Auburn,AL,Auburn,SEC,"87,451[70]",1939[70],2004[70]
,,,,,,,,
091507-USCNeb-MemorialStadium.jpg,Memorial Stadium,Lincoln,NE,Nebraska,Big Ten,"87,091",1923[96],2013[95]
,,,,,,,,
Doak Campbell416.jpg,Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,Florida State,ACC,"82,300[18]",1950[18],2003[18]
,,,,,,,,
Gaylord Family Oklahoma Memorial Stadium from SEC.jpg,Gaylord Family Oklahoma Memorial Stadium,Norman,OK,Oklahoma,Big 12,"82,112[53]",1925[53],2003[53]
,,,,,,,,
CU Memorial Stadium Aug2010.jpg,Memorial Stadium,Clemson,SC,Clemson,ACC,"81,500[86]",1942[86],2006[86]
,,,,,,,,
Notre-dame-stadium.jpg,Notre Dame Stadium,Notre Dame,IN,Notre Dame,Independent,"80,795[105]",1930[105],1997[105]
,,,,,,,,
Camp Randall Stadium stands.jpg,Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,"80,321[32]",1917[32],2005[32]
,,,,,,,,
Williams-Brice Stadium.jpg,Williams-Brice Stadium,Columbia,SC,South Carolina,SEC,"80,250[158]",1934[158],1996[158]
,,,,,,,,
SpartanStadiumA.jpg,Spartan Stadium,East Lansing,MI,Michigan State,Big Ten,"75,005[135]",1923[135],2005[135]
,,,,,,,,
09-02-06-RazorbacksEnterRSS.jpg,"Donald W. Reynolds Razorback Stadium",Fayetteville,AR,Arkansas,SEC,"72,000[116]",1938[116],2006[116]
,,,,,,,,
SunDevilStadium1.jpg,"Sun Devil Stadium, Frank Kush Field",Tempe,AZ,Arizona State,Pac-12,"71,706[142]",1958[142],1998[142]
,,,,,,,,
Faurot Field.jpg,Faurot Field,Columbia,MO,Missouri,SEC,"71,168[50]",1927[50],1997[50]
,,,,,,,,
Kinnick Stadium Press Box.jpg,Kinnick Stadium,Iowa City,IA,Iowa,Big Ten,"70,585[73]",1929[75],2006[73]
,,,,,,,,
