image,stadium,city,state,team,conference,capacity,built,expanded
LP Field 2009 crop.jpg,LP Field,Nashville,Tennessee,Tennessee State Tigers,Ohio Valley,"68,798",1999,
Yale bowl birds eye view.png,Yale Bowl,New Haven,Connecticut,Yale Bulldogs,Ivy,"61,446[106]",1914[106],
Mississippi Veterans Memorial Stadium.jpg,Mississippi Veterans Memorial Stadium,Jackson,Mississippi,Jackson State Tigers,SWAC,"60,492",1941[69],
Franklin Field aerial.jpg,Franklin Field,Philadelphia,Pennsylvania,Penn Quakers,Ivy,"52,593[37]",1895[37],
Harvard Stadium aerial.jpg,Harvard Stadium,Boston,Massachusetts,Harvard Crimson,Ivy,"30,323[48]",1903[48],2007[48]
,"William ""Dick"" Price Stadium",Norfolk,Virginia,Norfolk State Spartans,MEAC,"30,000[103]",1997[103],
,Ace W. Mumford Stadium,Baton Rouge,Louisiana,Southern Jaguars,SWAC,"28,500",1928,"1980, 2009"
Princeton Stadium.jpg,Princeton University Stadium,Princeton,New Jersey,Princeton Tigers,Ivy,"27,800[80]",1998,
The New ASU Stadium.JPG,Hornet Stadium,Montgomery,Alabama,Alabama State Hornets,SWAC,"26,500",2012,N/A
Schoellkopfcrecent.jpg,Schoellkopf Field,Ithaca,New York,Cornell Big Red,Ivy,"25,597[91]",1915[91],2006[91]
Bragg.jpg,Bragg Memorial Stadium,Tallahassee,Florida,Florida A&M Rattlers,MEAC,"25,500",1957,
WashingtonGrizzlyNAU.jpg,Washington–Grizzly Stadium,Missoula,Montana,Montana Grizzlies,Big Sky,"25,200[101]",1986[101],"1995, 2003, 2008[101]"
Bridgeforth Panorama.JPEG,Bridgeforth Stadium,Harrisonburg,Virginia,James Madison Dukes,CAA,"24,878[14]",1975[14],2011[14]
,,,,,,,,
,JSU Stadium,Jacksonville,Alabama,Jacksonville State Gamecocks,Ohio Valley,"24,000[61]",1947[61],2010[61]
,,,,,,,,
Fittonfield.jpg,Fitton Field,Worcester,Massachusetts,Holy Cross Crusaders,Patriot,"23,500[36]",1924[36],1986[36]
,Jack Spinks Stadium,Lorman,Mississippi,Alcorn State Braves,SWAC,"22,500[56]",1992[56],
,,,,,,,,
"BBVA Compass Stadium, Skyline View.JPG",BBVA Compass Stadium,Houston,Texas,Texas Southern Tigers,SWAC,"22,039",2012,
OliverCDawsonStadium.JPG,Oliver C. Dawson Stadium,Orangeburg,South Carolina,South Carolina State Bulldogs,MEAC,"22,000[75]",1955,
Delaware Cockpit.jpg,Delaware Stadium,Newark,Delaware,Delaware Fightin' Blue Hens,CAA,"22,000[26]",1952[26],
,,,,,,,,
Aggie Stadium Pressbox 01.jpg,Aggie Stadium,Greensboro,North Carolina,North Carolina A&T Aggies,MEAC,"21,500",1981,
,Hornet Stadium,Sacramento,California,Sacramento State Hornets,Big Sky,"21,195[54]",1969[54],1992[54]
,,,,,,,,
CitadelStadium.jpg,Johnson Hagood Stadium,Charleston,South Carolina,The Citadel Bulldogs,Southern,"21,000[60]",1948[60],2008[60]
,,,,,,,,
Louis Crews Stadium panorama Dec10.jpg,Louis Crews Stadium,Huntsville,Alabama,Alabama A&M Bulldogs,SWAC,"21,000",1996,
FinleyStadium,Finley Stadium,Chattanooga,Tennessee,Chattanooga Mocs,Southern,"20,668[34]",1997[34],
Stambaugh Stadium.jpg,Stambaugh Stadium,Youngstown,Ohio,Youngstown State Penguins,Missouri Valley,"20,650[93]",1982[93],
,,,,,,,,
RoyKiddStadium.jpg,Roy Kidd Stadium,Richmond,Kentucky,Eastern Kentucky Colonels,Ohio Valley,"20,000[89]",1969[89],
BrownStad-MainStands1.JPG,Brown Stadium,Providence,Rhode Island,Brown Bears,Ivy,"20,000[17]",1925[17],
Grambling State University football stadium IMG 3656.JPG,Eddie Robinson Stadium,Grambling,Louisiana,Grambling State Tigers,SWAC,"19,600",1983,
Jeld-Wen Field 2013.jpg,Providence Park,Portland,Oregon,Portland State Vikings,Big Sky,"19,566[81]",1926[81],2001
Williams Stadium.JPG,Williams Stadium,Lynchburg,Virginia,Liberty Flames,Big South,"19,200[104]",1989[104],2010[104]
,,,,,,,,
2009-0518-Fargodome.jpg,Fargodome,Fargo,North Dakota,North Dakota State Bison,Missouri Valley,"19,000[33]",1992,
,,,,,,,,
MSUBobcatStadium new turf.jpg,Bobcat Stadium,Bozeman,Montana,Montana State Bobcats,Big Sky,"19,000[12]",1973,2011[12]
Football Stadium.jpg,Plaster Sports Complex,Springfield,Missouri,Missouri State Bears,Missouri Valley,"17,500[77]",1941[78],2014[79]
Bonnettefield.jpg,Cowboy Stadium,Lake Charles,Louisiana,McNeese State Cowboys,Southland,"17,410[23]",1965[23],1998[23]
,,,,,,,,
,Stewart Stadium,Ogden,Utah,Weber State Wildcats,Big Sky,"17,000[94]",1966[94],
,Armstrong Stadium,Hampton,Virginia,Hampton Pirates,MEAC,"17,000[6]",1928[6],1999[6]
Bigredmarchingband.jpg,Lawrence A. Wien Stadium,Manhattan,New York,Columbia Lions,Ivy,"17,000[64]",1984[64],
StewartStadiumMSU.JPG,Roy Stewart Stadium,Murray,Kentucky,Murray State Racers,Ohio Valley,"16,800[90]",1973[90],
TuckerStadium.jpg,Tucker Stadium,Cookeville,Tennessee,Tennessee Tech Golden Eagles,Ohio Valley,"16,500",1966,
Hansen Field.JPG,Hanson Field,Macomb,Illinois,Western Illinois Leathernecks,Missouri Valley,"16,368[46]",1950[46],2007[46]
,,,,,,,,
UNI Dome.jpg,UNI-Dome,Cedar Falls,Iowa,Northern Iowa Panthers,Missouri Valley,"16,000[97]",1976[97],1998[97]
PUStadiumPanfromMorganSuites.JPG,Provost Umphrey Stadium,Beaumont,Texas,Lamar Cardinals,Southland,"16,000[82]",1964,2009-2010[84][85][86]
,,,,,,,,
FurmanPaladinStadium3.jpg,Paladin Stadium,Greenville,South Carolina,Furman Paladins,Southern,"16,000[76]",1981[76],1985[76]
,,,,,,,,
Goodman Stadium.JPG,Goodman Stadium,Bethlehem,Pennsylvania,Lehigh Mountain Hawks,Patriot,"16,000[41]",1988,
,Golden Lion Stadium,Pine Bluff,Arkansas,Arkansas–Pine Bluff Golden Lions,SWAC,"16,000",2000,
NSU Demons football stadium IMG 2010.JPG,Harry Turpin Stadium,Natchitoches,Louisiana,Northwestern State Demons,Southland,"15,971[47]",1976,
,,,,,,,,
Flagstaff NAU Skydome.jpg,Walkup Skydome,Flagstaff,Arizona,Northern Arizona Lumberjacks,Big Sky,"15,300[100]",1977[100],
,Saluki Stadium,Carbondale,Illinois,Southern Illinois Salukis,Missouri Valley,"15,276",2010,
Shotwell1.jpg,Shotwell Stadium,Abilene,Texas,Abilene Christian Wildcats,Southland,"15,075",1959,2002
Dartmouth Memorial Field 1.jpg,Memorial Field,Hanover,New Hampshire,Dartmouth Big Green,Ivy,"15,000[68]",1923[68],
ISU vs Drake at Hancock Stadium.jpg,Hancock Stadium,Normal,Illinois,Illinois State Redbirds,Missouri Valley,"15,000[45]",1963[45],
,Coughlin–Alumni Stadium,Brookings,South Dakota,South Dakota State Jackrabbits,Missouri Valley,"15,000[22]",1962[22],
,,,,,,,,
