stadium,city,state,team,conference,capacity,built,expanded,div,latitude,longitude
Michigan Stadium,Ann Arbor,MI,Michigan,Big Ten,107601,1927,2015,fbs,42.26586873251738,-83.7487256526947
Beaver Stadium,University Park,PA,Penn State,Big Ten,106572,1960,2001,fbs,40.81215273275043,-77.85620212554932
Ohio Stadium,Columbus,OH,Ohio State,Big Ten,104944,1922,2014,fbs,40.0016856893694,-83.01972806453705
Kyle Field,College Station,TX,Texas A&M,SEC,102733,1927,2015,fbs,30.61009757817476,-96.34072922859283
Neyland Stadium,Knoxville,TN,Tennessee,SEC,102455,1921,2010,fbs,35.95473437262258,-83.92533302307129
Tiger Stadium,Baton Rouge,LA,LSU,SEC,102321,1924,2014,fbs,30.4120123982997,-91.18381977081299
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,101821,1929,2010,fbs,33.207489944951796,-87.5503921508789
Darrell K Royal–Texas Memorial Stadium,Austin,TX,Texas,Big 12,100119,1924,2009,fbs,30.283603402068238,-97.73233652114868
Los Angeles Memorial Coliseum,Los Angeles,CA,Southern California,Pac-12,93607,1923,2008,fbs,34.01400974062912,-118.28789591789246
Sanford Stadium,Athens,GA,Georgia,SEC,92746,1929,2004,fbs,33.949821489498824,-83.37344169616699
Rose Bowl,Pasadena,CA,UCLA,Pac-12,92542,1921,1949,fbs,34.16156958726264,-118.1676149368286
Ben Hill Griffin Stadium,Gainesville,FL,Florida,SEC,88548,1930,2003,fbs,29.649868677972304,-82.34866619110107
Jordan–Hare Stadium,Auburn,AL,Auburn,SEC,87451,1939,2004,fbs,32.602361666817515,-85.48891067504883
Memorial Stadium,Lincoln,NE,Nebraska,Big Ten,87091,1923,2013,fbs,40.82048352329494,-96.70571565628052
Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,Florida State,ACC,82300,1950,2003,fbs,30.437547584621285,-84.30453398103501
Gaylord Family Oklahoma Memorial Stadium,Norman,OK,Oklahoma,Big 12,82112,1925,2003,fbs,35.20589959488508,-97.44255065917969
Memorial Stadium,Clemson,SC,Clemson,ACC,81500,1942,2006,fbs,34.67874665741346,-82.84317970275879
Notre Dame Stadium,Notre Dame,IN,Notre Dame,Independent,80795,1930,1997,fbs,41.69842312158612,-86.23382449150085
Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,80321,1917,2005,fbs,43.06993802646878,-89.41274642944336
Williams-Brice Stadium,Columbia,SC,South Carolina,SEC,80250,1934,1996,fbs,33.97259115457693,-81.02021634578705
Spartan Stadium,East Lansing,MI,Michigan State,Big Ten,75005,1923,2005,fbs,42.7281691163326,-84.48487535119057
Donald W. Reynolds Razorback Stadium,Fayetteville,AR,Arkansas,SEC,72000,1938,2006,fbs,36.067850785167344,-94.17879581451416
Sun Devil Stadium Frank Kush Field,Tempe,AZ,Arizona State,Pac-12,71706,1958,1998,fbs,33.426364,-111.932616
Faurot Field,Columbia,MO,Missouri,SEC,71168,1927,1997,fbs,38.935895296722315,-92.33311414718628
Kinnick Stadium,Iowa City,IA,Iowa,Big Ten,70585,1929,2006,fbs,41.65838893680983,-91.55147552490234
Qualcomm Stadium,San Diego,CA,San Diego State,Mountain West,70561,1967,1997,fbs,32.78305325779114,-117.11960077285767
Husky Stadium,Seattle,WA,Washington,Pac-12,70500,1920,2012,fbs,47.65043054401222,-122.30291984739304
Lincoln Financial Field,Philadelphia,PA,Temple,American,68532,2003,,fbs,39.900748900488125,-75.16749143600464
Heinz Field,Pittsburgh,PA,Pittsburgh,ACC,68400,2001,,fbs,40.44678376501633,-80.01575589179993
Lane Stadium,Blacksburg,VA,Virginia Tech,ACC,66233,1965,2005,fbs,37.2199742830054,-80.41805505752563
Raymond James Stadium,Tampa,FL,USF,American,65857,1998,,fbs,27.975994470037183,-82.50334918498993
Sun Life Stadium,Miami Gardens,FL,Miami,ACC,65326,1987,2016,fbs,25.957933739028963,-80.23884057998657
Alamodome,San Antonio,TX,UTSA,C-USA,65000,1993,,fbs,29.416937128681557,-98.47890257835387
LaVell Edwards Stadium,Provo,UT,BYU,Independent,63725,1964,1982,fbs,40.257487997463116,-111.65443897247314
Kenan Memorial Stadium,Chapel Hill,NC,North Carolina,ACC,62980,1927,2011,fbs,35.90698834747853,-79.04791831970215
California Memorial Stadium,Berkeley,CA,California,Pac-12,62717,1923,2012,fbs,37.87068660370429,-122.2507095336914
Liberty Bowl Memorial Stadium,Memphis,TN,Memphis,American,62380,1965,1987,fbs,35.120856917268995,-89.97805741128388
Commonwealth Stadium,Lexington,KY,Kentucky,SEC,62093,1973,1999,fbs,38.02262168129363,-84.50520515441895
Jack Trice Stadium,Ames,IA,Iowa State,Big 12,61500,1975,2015,fbs,42.01400541108485,-93.6358094215393
Scott Stadium,Charlottesville,VA,Virginia,ACC,61500,1931,2000,fbs,38.03112372855688,-78.51370811462402
