date_pacific_tz,beer_name,beer_style,brewery_name,brewery_place,brewery_type,rating,beer_avg_rating,brewery_avg_rating,beer_abv,beer_ibu,beer_total_checkins,brewery_total_checkins,venue_name,venue_type,venue_place,venue_lat,venue_lon,venue_total_checkins,checkin_id,beer_url,brewery_url,venue_url
2016-06-11 23:14:09-07:00,Liberty Ale,IPA - American,Anchor Brewing Company,"San Francisco, CA United States",Micro Brewery,4.0,3.49,3.5,5.9,47.0,88113.0,965063.0,Chateau Szibbo,Home (private),"Berkeley, CA",37.8665,-122.282,18.0,322871654,https://untappd.com/b/anchor-brewing-company-liberty-ale/5173,https://untappd.com/w/anchor-brewing-company/3891,https://untappd.com/v/chateau-szibbo/2699353
2016-06-11 22:46:58-07:00,Anchor IPA,IPA - American,Anchor Brewing Company,"San Francisco, CA United States",Micro Brewery,3.75,3.48,3.5,6.5,65.0,84691.0,965063.0,Chateau Szibbo,Home (private),"Berkeley, CA",37.8665,-122.282,18.0,322868109,https://untappd.com/b/anchor-brewing-company-anchor-ipa/517772,https://untappd.com/w/anchor-brewing-company/3891,https://untappd.com/v/chateau-szibbo/2699353
2016-06-11 21:06:04-07:00,Apocalypse IPA,IPA - American,10 Barrel Brewing Co.,"Bend, OR United States",Micro Brewery,4.0,3.78,3.67,6.8,70.0,64788.0,263867.0,Chateau Szibbo,Home (private),"Berkeley, CA",37.8665,-122.282,18.0,322842097,https://untappd.com/b/10-barrel-brewing-co-apocalypse-ipa/12786,https://untappd.com/w/10-barrel-brewing-co/3436,https://untappd.com/v/chateau-szibbo/2699353
2016-06-11 21:03:12-07:00,Angel City IPA,IPA - American,Angel City Brewery,"Los Angeles, CA United States",Micro Brewery,3.5,3.56,3.47,6.1,65.0,23927.0,70098.0,Chateau Szibbo,Home (private),"Berkeley, CA",37.8665,-122.282,18.0,322841026,https://untappd.com/b/angel-city-brewery-angel-city-ipa/176962,https://untappd.com/w/angel-city-brewery/4406,https://untappd.com/v/chateau-szibbo/2699353
2016-06-11 17:21:37-07:00,Apocalypse IPA,IPA - American,10 Barrel Brewing Co.,"Bend, OR United States",Micro Brewery,4.0,3.78,3.67,6.8,70.0,64788.0,263867.0,Chateau Szibbo,Home (private),"Berkeley, CA",37.8665,-122.282,18.0,322684843,https://untappd.com/b/10-barrel-brewing-co-apocalypse-ipa/12786,https://untappd.com/w/10-barrel-brewing-co/3436,https://untappd.com/v/chateau-szibbo/2699353
2016-06-09 20:43:09-07:00,Angel City IPA,IPA - American,Angel City Brewery,"Los Angeles, CA United States",Micro Brewery,3.5,3.56,3.47,6.1,65.0,23927.0,70098.0,Boeing Manor,Home (private),"Berkeley, CA",37.8605,-122.271,131.0,321628572,https://untappd.com/b/angel-city-brewery-angel-city-ipa/176962,https://untappd.com/w/angel-city-brewery/4406,https://untappd.com/v/boeing-manor/509841
2016-06-08 01:45:36-07:00,Cascade Premium Light,Lager - Pale,Cascade Brewery Co. (Australia),"South Hobart, Tas. Australia",Macro Brewery,2.0,2.32,2.93,2.6,,2429.0,12274.0,Golden Monkey,"Lounge, Cocktail Bar, Bar","389 Lonsdale St. Melbourne, VIC",-37.8129,144.961,12.0,321044810,https://untappd.com/b/cascade-brewery-co-australia-cascade-premium-light/9534,https://untappd.com/w/cascade-brewery-co-australia/2671,https://untappd.com/v/golden-monkey/1201269
2016-06-07 22:39:59-07:00,Naked Lager,Lager - Helles,Naked For Satan,Australia,Nano Brewery,3.75,3.49,3.25,4.2,,27.0,95.0,Naked For Satan,"Bar, Tapas Restaurant, Lounge","285 Brunswick St. Melbourne, VIC",-37.7988,144.978,773.0,321038174,https://untappd.com/b/naked-for-satan-naked-lager/1318125,https://untappd.com/w/naked-for-satan/83569,https://untappd.com/v/naked-for-satan/86227
2016-06-07 21:25:57-07:00,Golden Ale,Golden Ale,Venom Brewing,Australia,Micro Brewery,3.25,3.57,3.61,4.8,32.0,730.0,844.0,Town Hall Hotel,"Pub, Hotel Bar, Restaurant","166 Johnston St. Fitzroy, VIC",-37.7986,144.981,133.0,321031246,https://untappd.com/b/venom-brewing-golden-ale/1190495,https://untappd.com/w/venom-brewing/219040,https://untappd.com/v/town-hall-hotel/52668
2016-06-07 20:37:02-07:00,Fat Yak,Pale Ale - American,Matilda Bay Brewing Company,"Port Melbourne, Vic. Australia",Micro Brewery,4.0,3.39,3.23,4.7,25.0,24226.0,62434.0,Bowl Bowl,Dumpling Restaurant,"88 Smith St Fitzroy, VIC",-37.8056,144.983,2.0,321022902,https://untappd.com/b/matilda-bay-brewing-company-fat-yak/7423,https://untappd.com/w/matilda-bay-brewing-company/835,https://untappd.com/v/bowl-bowl/4803853
2016-06-07 02:49:24-07:00,Pale Ale,Pale Ale - American,Kosciuszko Brewing Company (Lion Nathan),"Jindabyne, NSW Australia",Micro Brewery,4.0,3.38,3.39,4.5,,6612.0,6744.0,Nieuw Amsterdam,"New American Restaurant, BBQ Joint, Cocktail Bar","106-112 Hardware St Melbourne, VIC",-37.8121,144.961,608.0,320794253,https://untappd.com/b/kosciuszko-brewing-company-lion-nathan-pale-ale/12351,https://untappd.com/w/kosciuszko-brewing-company-lion-nathan/3337,https://untappd.com/v/nieuw-amsterdam/1295885
2016-06-05 02:41:25-07:00,Pale Ale,Pale Ale - American,Little Creatures Brewing,"Fremantle, W.A. Australia",Micro Brewery,3.75,3.64,3.55,5.2,40.0,31649.0,78964.0,Great Ocean Road Resort,Resort,"105 Great Ocean Road Anglesea, VIC",-38.4077,144.186,2.0,320148611,https://untappd.com/b/little-creatures-brewing-pale-ale/8261,https://untappd.com/w/little-creatures-brewing/2560,https://untappd.com/v/great-ocean-road-resort/3773182
2016-06-03 15:22:43-07:00,Super Crisp Lager,Lager - North American Adjunct,Great Northern Brewing Co. (CUB),"Abbotsfort, Vic. Australia",Macro Brewery,4.0,2.57,2.6,4.2,,3998.0,4405.0,,,,,,,319122829,https://untappd.com/b/great-northern-brewing-co-cub-super-crisp-lager/230949,https://untappd.com/w/great-northern-brewing-co-cub/40002,
2016-06-01 05:00:48-07:00,American Pale Ale,Pale Ale - American,Batch Brewing Company,"Marrickville, New South Wales Australia",Micro Brewery,4.0,3.69,3.66,5.2,,1972.0,17070.0,Trinity Bar,"Pub, Bar, Wine Bar","505 Crown St. Surry Hills, NSW",-33.8886,151.213,1460.0,318334911,https://untappd.com/b/batch-brewing-company-american-pale-ale/535499,https://untappd.com/w/batch-brewing-company/97260,https://untappd.com/v/trinity-bar/41107
2016-06-01 04:11:27-07:00,IPA,IPA - American,McLaren Vale Orchards,Australia,Micro Brewery,3.0,3.7,3.5,5.5,,32.0,82.0,Trinity Bar,"Pub, Bar, Wine Bar","505 Crown St. Surry Hills, NSW",-33.8886,151.213,1460.0,318333015,https://untappd.com/b/mclaren-vale-orchards-ipa/1268726,https://untappd.com/w/mclaren-vale-orchards/103625,https://untappd.com/v/trinity-bar/41107
2016-06-01 03:18:52-07:00,Pale Ale,Pale Ale - American,Moo Brew,"Berriedale, Tas. Australia",Micro Brewery,4.0,3.56,3.63,4.9,,2693.0,14485.0,Shady Pines Saloon,Bar,"256 Crown St. Darlinghurst, NSW",-33.8789,151.215,789.0,318331174,https://untappd.com/b/moo-brew-pale-ale/15364,https://untappd.com/w/moo-brew/4806,https://untappd.com/v/shady-pines-saloon/28999
2016-06-01 01:55:23-07:00,Pacific Ale,Pale Ale - Australian,Stone & Wood,"Byron Bay, NSW Australia",Micro Brewery,4.5,3.75,3.64,4.4,,24976.0,44200.0,Bar Luca,"Bar, Italian Restaurant","52 Philip Street Sydney, NSW",-33.8642,151.212,126.0,318328982,https://untappd.com/b/stone-and-wood-pacific-ale/626326,https://untappd.com/w/stone-wood/2555,https://untappd.com/v/bar-luca/89621
2016-06-01 01:22:18-07:00,Pacific Ale,Pale Ale - Australian,Stone & Wood,"Byron Bay, NSW Australia",Micro Brewery,4.5,3.75,3.64,4.4,,24976.0,44200.0,Bar Luca,"Bar, Italian Restaurant","52 Philip Street Sydney, NSW",-33.8642,151.212,126.0,318328218,https://untappd.com/b/stone-and-wood-pacific-ale/626326,https://untappd.com/w/stone-wood/2555,https://untappd.com/v/bar-luca/89621
2016-05-30 19:09:59-07:00,Three Sheets,Pale Ale - Australian,The Lord Nelson Brewery Hotel,"Sydney, N.S.W. Australia",Micro Brewery,4.25,3.64,3.56,4.9,27.0,7572.0,15776.0,,,,,,,318063660,https://untappd.com/b/the-lord-nelson-brewery-hotel-three-sheets/14862,https://untappd.com/w/the-lord-nelson-brewery-hotel/2748,
2016-05-30 03:13:54-07:00,James Squire One Fifty Lashes Pale Ale,Pale Ale - Australian,Malt Shovel Brewery (James Squire),"Camperdown, N.S.W. Australia",Macro Brewery,3.75,3.39,3.35,4.2,,24532.0,86737.0,Riley St Garage,"American Restaurant, Cocktail Bar","55 Riley St. Woolloomooloo, NSW",-33.8737,151.215,23.0,317746332,https://untappd.com/b/malt-shovel-brewery-james-squire-james-squire-one-fifty-lashes-pale-ale/55904,https://untappd.com/w/malt-shovel-brewery-james-squire/820,https://untappd.com/v/riley-st-garage/1176363
2016-05-29 23:58:27-07:00,Great Western Golden Ale,Golden Ale,Katoomba Brewing Company,"Katoomba, NSW Australia",Micro Brewery,3.75,3.55,3.56,4.2,23.0,52.0,134.0,Old City Bank Bar and Brasserie,"Pub, Hotel","15-47 Katoomba St. Katoomba, NSW",-33.7128,150.312,246.0,317740347,https://untappd.com/b/katoomba-brewing-company-great-western-golden-ale/1390377,https://untappd.com/w/katoomba-brewing-company/243819,https://untappd.com/v/old-city-bank-bar-and-brasserie/74090
2016-05-29 23:24:33-07:00,American Pale Ale,Pale Ale - American,Katoomba Brewing Company,"Katoomba, NSW Australia",Micro Brewery,4.25,3.56,3.56,5.2,32.0,82.0,134.0,Old City Bank Bar and Brasserie,"Pub, Hotel","15-47 Katoomba St. Katoomba, NSW",-33.7128,150.312,246.0,317738352,https://untappd.com/b/katoomba-brewing-company-american-pale-ale/1367305,https://untappd.com/w/katoomba-brewing-company/243819,https://untappd.com/v/old-city-bank-bar-and-brasserie/74090
2016-05-29 01:50:08-07:00,Conviction Series: IPA,IPA - American,Rocks Brewing Co,"Alexandria, N.S.W. Australia",Micro Brewery,3.0,3.75,3.52,7.0,70.0,1728.0,18533.0,Harts Pub,"Pub, Restaurant","176 Cumberland St. Sydney, NSW",-33.8617,151.206,10339.0,317203182,https://untappd.com/b/rocks-brewing-co-conviction-series-ipa/457324,https://untappd.com/w/rocks-brewing-co/3242,https://untappd.com/v/harts-pub/5281
2016-05-29 00:55:13-07:00,The Governor,Golden Ale,Rocks Brewing Co,"Alexandria, N.S.W. Australia",Micro Brewery,3.5,3.41,3.52,4.5,25.0,2012.0,18533.0,Harts Pub,"Pub, Restaurant","176 Cumberland St. Sydney, NSW",-33.8617,151.206,10339.0,317200459,https://untappd.com/b/rocks-brewing-co-the-governor/31737,https://untappd.com/w/rocks-brewing-co/3242,https://untappd.com/v/harts-pub/5281
