date_pacific_tz,beer_name,beer_style,brewery_name,brewery_place,brewery_type,rating,beer_avg_rating,brewery_avg_rating,beer_abv,beer_ibu,beer_total_checkins,brewery_total_checkins,venue_name,venue_type,venue_place,venue_lat,venue_lon,venue_total_checkins,checkin_id,beer_url,brewery_url,venue_url,brewery_lat,brewery_lon,venue_timezone,date_local_tz
2016-06-09 20:43:09-07:00,Angel City IPA,IPA - American,Angel City Brewery,"Los Angeles, CA United States",Micro Brewery,3.5,3.56,3.47,6.1,65.0,23808.0,69800.0,Boeing Manor,Home (private),"Berkeley, CA",37.8605,-122.271,,321628572,https://untappd.com/b/angel-city-brewery-angel-city-ipa/176962,https://untappd.com/w/angel-city-brewery/4406,https://untappd.com/v/boeing-manor/509841,34.0522342,-118.2436849,America/Los_Angeles,2016-06-09 20:43:09-07:00
2016-06-08 01:45:36-07:00,Cascade Premium Light,Lager - Pale,Cascade Brewery Co. (Australia),"South Hobart, Tas. Australia",Macro Brewery,2.0,2.32,2.93,2.6,,2427.0,12266.0,Golden Monkey,"Lounge, Cocktail Bar, Bar","389 Lonsdale St. Melbourne, VIC",-37.8129,144.961,,321044810,https://untappd.com/b/cascade-brewery-co-australia-cascade-premium-light/9534,https://untappd.com/w/cascade-brewery-co-australia/2671,https://untappd.com/v/golden-monkey/1201269,-42.8945228,147.3094914,Australia/Hobart,2016-06-08 18:45:36+10:00
2016-06-07 22:39:59-07:00,Naked Lager,Lager - Helles,Naked For Satan,Australia,Nano Brewery,3.75,3.47,3.24,4.2,,26.0,94.0,Naked For Satan,"Bar, Tapas Restaurant, Lounge","285 Brunswick St. Melbourne, VIC",-37.7988,144.978,,321038174,https://untappd.com/b/naked-for-satan-naked-lager/1318125,https://untappd.com/w/naked-for-satan/83569,https://untappd.com/v/naked-for-satan/86227,-25.274398,133.775136,Australia/Hobart,2016-06-08 15:39:59+10:00
2016-06-07 21:25:57-07:00,Golden Ale,Golden Ale,Venom Brewing,Australia,Micro Brewery,3.25,3.58,3.61,4.8,32.0,723.0,834.0,Town Hall Hotel,"Pub, Hotel Bar, Restaurant","166 Johnston St. Fitzroy, VIC",-37.7986,144.981,,321031246,https://untappd.com/b/venom-brewing-golden-ale/1190495,https://untappd.com/w/venom-brewing/219040,https://untappd.com/v/town-hall-hotel/52668,-25.274398,133.775136,Australia/Hobart,2016-06-08 14:25:57+10:00
2016-06-07 20:37:02-07:00,Fat Yak,Pale Ale - American,Matilda Bay Brewing Company,"Port Melbourne, Vic. Australia",Micro Brewery,4.0,3.39,3.23,4.7,25.0,24190.0,62338.0,Bowl Bowl,Dumpling Restaurant,"88 Smith St Fitzroy, VIC",-37.8056,144.983,,321022902,https://untappd.com/b/matilda-bay-brewing-company-fat-yak/7423,https://untappd.com/w/matilda-bay-brewing-company/835,https://untappd.com/v/bowl-bowl/4803853,-37.836926,144.94455,Australia/Hobart,2016-06-08 13:37:02+10:00
2016-06-07 02:49:24-07:00,Pale Ale,Pale Ale - American,Kosciuszko Brewing Company (Lion Nathan),"Jindabyne, NSW Australia",Micro Brewery,4.0,3.38,3.39,4.5,,6583.0,6715.0,Nieuw Amsterdam,"New American Restaurant, BBQ Joint, Cocktail Bar","106-112 Hardware St Melbourne, VIC",-37.8121,144.961,,320794253,https://untappd.com/b/kosciuszko-brewing-company-lion-nathan-pale-ale/12351,https://untappd.com/w/kosciuszko-brewing-company-lion-nathan/3337,https://untappd.com/v/nieuw-amsterdam/1295885,-36.41479,148.6110247,Australia/Hobart,2016-06-07 19:49:24+10:00
2016-06-05 02:41:25-07:00,Pale Ale,Pale Ale - American,Little Creatures Brewing,"Fremantle, W.A. Australia",Micro Brewery,3.75,3.64,3.55,5.2,40.0,31580.0,78724.0,Great Ocean Road Resort,Resort,"105 Great Ocean Road Anglesea, VIC",-38.4077,144.186,,320148611,https://untappd.com/b/little-creatures-brewing-pale-ale/8261,https://untappd.com/w/little-creatures-brewing/2560,https://untappd.com/v/great-ocean-road-resort/3773182,-32.0560399,115.7471797,Australia/Hobart,2016-06-05 19:41:25+10:00
2016-06-03 15:22:43-07:00,Super Crisp Lager,Lager - North American Adjunct,Great Northern Brewing Co. (CUB),"Abbotsfort, Vic. Australia",Macro Brewery,4.0,2.56,2.6,4.2,,3982.0,4380.0,,,,,,,319122829,https://untappd.com/b/great-northern-brewing-co-cub-super-crisp-lager/230949,https://untappd.com/w/great-northern-brewing-co-cub/40002,,-37.8002232,144.9961625,Australia/Sydney,2016-06-04 08:22:43+10:00
2016-06-01 05:00:48-07:00,American Pale Ale,Pale Ale - American,Batch Brewing Company,"Marrickville, New South Wales Australia",Micro Brewery,4.0,3.69,3.66,5.2,,1959.0,16906.0,Trinity Bar,"Pub, Bar, Wine Bar","505 Crown St. Surry Hills, NSW",-33.8886,151.213,,318334911,https://untappd.com/b/batch-brewing-company-american-pale-ale/535499,https://untappd.com/w/batch-brewing-company/97260,https://untappd.com/v/trinity-bar/41107,-33.91063,151.15646,Australia/Sydney,2016-06-01 22:00:48+10:00
2016-06-01 04:11:27-07:00,IPA,IPA - American,McLaren Vale Orchards,Australia,Micro Brewery,3.0,3.7,3.5,5.5,,31.0,81.0,Trinity Bar,"Pub, Bar, Wine Bar","505 Crown St. Surry Hills, NSW",-33.8886,151.213,,318333015,https://untappd.com/b/mclaren-vale-orchards-ipa/1268726,https://untappd.com/w/mclaren-vale-orchards/103625,https://untappd.com/v/trinity-bar/41107,-25.274398,133.775136,Australia/Sydney,2016-06-01 21:11:27+10:00
2016-06-01 03:18:52-07:00,Pale Ale,Pale Ale - American,Moo Brew,"Berriedale, Tas. Australia",Micro Brewery,4.0,3.56,3.63,4.9,,2685.0,14436.0,Shady Pines Saloon,Bar,"256 Crown St. Darlinghurst, NSW",-33.8789,151.215,,318331174,https://untappd.com/b/moo-brew-pale-ale/15364,https://untappd.com/w/moo-brew/4806,https://untappd.com/v/shady-pines-saloon/28999,-42.8160361,147.2504829,Australia/Sydney,2016-06-01 20:18:52+10:00
2016-06-01 01:55:23-07:00,Pacific Ale,Pale Ale - Australian,Stone & Wood,"Byron Bay, NSW Australia",Micro Brewery,4.5,3.75,3.64,4.4,,24925.0,44077.0,Bar Luca,"Bar, Italian Restaurant","52 Philip Street Sydney, NSW",-33.8642,151.212,,318328982,https://untappd.com/b/stone-and-wood-pacific-ale/626326,https://untappd.com/w/stone-wood/2555,https://untappd.com/v/bar-luca/89621,-28.6441616,153.6123788,Australia/Sydney,2016-06-01 18:55:23+10:00
2016-06-01 01:22:18-07:00,Pacific Ale,Pale Ale - Australian,Stone & Wood,"Byron Bay, NSW Australia",Micro Brewery,4.5,3.75,3.64,4.4,,24925.0,44077.0,Bar Luca,"Bar, Italian Restaurant","52 Philip Street Sydney, NSW",-33.8642,151.212,,318328218,https://untappd.com/b/stone-and-wood-pacific-ale/626326,https://untappd.com/w/stone-wood/2555,https://untappd.com/v/bar-luca/89621,-28.6441616,153.6123788,Australia/Sydney,2016-06-01 18:22:18+10:00
2016-05-30 19:09:59-07:00,Three Sheets,Pale Ale - Australian,The Lord Nelson Brewery Hotel,"Sydney, N.S.W. Australia",Micro Brewery,4.25,3.64,3.56,4.9,27.0,7552.0,15725.0,,,,,,,318063660,https://untappd.com/b/the-lord-nelson-brewery-hotel-three-sheets/14862,https://untappd.com/w/the-lord-nelson-brewery-hotel/2748,,-33.8674869,151.2069902,Australia/Sydney,2016-05-31 12:09:59+10:00
2016-05-30 03:13:54-07:00,James Squire One Fifty Lashes Pale Ale,Pale Ale - Australian,Malt Shovel Brewery (James Squire),"Camperdown, N.S.W. Australia",Macro Brewery,3.75,3.39,3.35,4.2,,24481.0,86564.0,Riley St Garage,"American Restaurant, Cocktail Bar","55 Riley St. Woolloomooloo, NSW",-33.8737,151.215,,317746332,https://untappd.com/b/malt-shovel-brewery-james-squire-james-squire-one-fifty-lashes-pale-ale/55904,https://untappd.com/w/malt-shovel-brewery-james-squire/820,https://untappd.com/v/riley-st-garage/1176363,-33.8868973,151.176639,Australia/Sydney,2016-05-30 20:13:54+10:00
2016-05-29 23:58:27-07:00,Great Western Golden Ale,Golden Ale,Katoomba Brewing Company,"Katoomba, NSW Australia",Micro Brewery,3.75,3.55,3.57,4.2,23.0,51.0,132.0,Old City Bank Bar and Brasserie,"Pub, Hotel","15-47 Katoomba St. Katoomba, NSW",-33.7128,150.312,,317740347,https://untappd.com/b/katoomba-brewing-company-great-western-golden-ale/1390377,https://untappd.com/w/katoomba-brewing-company/243819,https://untappd.com/v/old-city-bank-bar-and-brasserie/74090,-33.7149546,150.3114074,Australia/Sydney,2016-05-30 16:58:27+10:00
2016-05-29 23:24:33-07:00,American Pale Ale,Pale Ale - American,Katoomba Brewing Company,"Katoomba, NSW Australia",Micro Brewery,4.25,3.59,3.57,5.2,32.0,81.0,132.0,Old City Bank Bar and Brasserie,"Pub, Hotel","15-47 Katoomba St. Katoomba, NSW",-33.7128,150.312,,317738352,https://untappd.com/b/katoomba-brewing-company-american-pale-ale/1367305,https://untappd.com/w/katoomba-brewing-company/243819,https://untappd.com/v/old-city-bank-bar-and-brasserie/74090,-33.7149546,150.3114074,Australia/Sydney,2016-05-30 16:24:33+10:00
2016-05-29 01:50:08-07:00,Conviction Series: IPA,IPA - American,Rocks Brewing Co,"Alexandria, N.S.W. Australia",Micro Brewery,3.0,3.76,3.52,7.0,70.0,1720.0,18500.0,Harts Pub,"Pub, Restaurant","176 Cumberland St. Sydney, NSW",-33.8617,151.206,,317203182,https://untappd.com/b/rocks-brewing-co-conviction-series-ipa/457324,https://untappd.com/w/rocks-brewing-co/3242,https://untappd.com/v/harts-pub/5281,-33.9018818,151.2000103,Australia/Sydney,2016-05-29 18:50:08+10:00
2016-05-29 00:55:13-07:00,The Governor,Golden Ale,Rocks Brewing Co,"Alexandria, N.S.W. Australia",Micro Brewery,3.5,3.41,3.52,4.5,25.0,2011.0,18500.0,Harts Pub,"Pub, Restaurant","176 Cumberland St. Sydney, NSW",-33.8617,151.206,,317200459,https://untappd.com/b/rocks-brewing-co-the-governor/31737,https://untappd.com/w/rocks-brewing-co/3242,https://untappd.com/v/harts-pub/5281,-33.9018818,151.2000103,Australia/Sydney,2016-05-29 17:55:13+10:00
2016-05-28 19:20:42-07:00,Dr Tim's Traditional Ale,Pale Ale - Australian,Coopers Brewery,"Regency Park, S.A. Australia",Micro Brewery,2.0,2.86,3.27,4.5,,723.0,114752.0,Bondi Icebergs,"Pool, Pub","1 Notts Ave. Bondi Beach, NSW",-33.8951,151.274,,317105733,https://untappd.com/b/coopers-brewery-dr-tim-s-traditional-ale/6097,https://untappd.com/w/coopers-brewery/397,https://untappd.com/v/bondi-icebergs/189676,-34.8608138,138.5681553,Australia/Sydney,2016-05-29 12:20:42+10:00
2016-05-28 19:19:59-07:00,Premium Lager,Lager - Pale,Coopers Brewery,"Regency Park, S.A. Australia",Micro Brewery,1.75,2.79,3.27,4.8,,1829.0,114752.0,Bondi Icebergs,"Pool, Pub","1 Notts Ave. Bondi Beach, NSW",-33.8951,151.274,,317105215,https://untappd.com/b/coopers-brewery-premium-lager/4929,https://untappd.com/w/coopers-brewery/397,https://untappd.com/v/bondi-icebergs/189676,-34.8608138,138.5681553,Australia/Sydney,2016-05-29 12:19:59+10:00
2016-05-27 22:15:39-07:00,Quayle Ale,Pale Wheat Ale - American,The Lord Nelson Brewery Hotel,"Sydney, N.S.W. Australia",Micro Brewery,4.0,3.24,3.56,4.4,18.0,962.0,15725.0,Lord Nelson Brewery Hotel,"Brewery, Pub, Hotel","19 Kent St. Millers Point, NSW",-33.8585,151.204,,316480031,https://untappd.com/b/the-lord-nelson-brewery-hotel-quayle-ale/73924,https://untappd.com/w/the-lord-nelson-brewery-hotel/2748,https://untappd.com/v/lord-nelson-brewery-hotel/26838,-33.8674869,151.2069902,Australia/Sydney,2016-05-28 15:15:39+10:00
2016-05-27 19:48:12-07:00,The Toffee Yank,Red Ale - American Amber / Red,Redoak Boutique Beer Cafe,"Sydney, N.S.W. Australia",Micro Brewery,4.25,3.53,3.46,5.5,,36.0,6987.0,Redoak Boutique Beer Cafe,"Beer Garden, Brewery, Bar","201 Clarence St. Sydney, NSW",-33.8698,151.205,,316416939,https://untappd.com/b/redoak-boutique-beer-cafe-the-toffee-yank/1531206,https://untappd.com/w/redoak-boutique-beer-cafe/2556,https://untappd.com/v/redoak-boutique-beer-cafe/5206,-33.8674869,151.2069902,Australia/Sydney,2016-05-28 12:48:12+10:00
2016-05-27 19:47:43-07:00,Pommy Bitter,English Bitter,Redoak Boutique Beer Cafe,"Sydney, N.S.W. Australia",Micro Brewery,3.25,3.55,3.46,3.5,,194.0,6987.0,Redoak Boutique Beer Cafe,"Beer Garden, Brewery, Bar","201 Clarence St. Sydney, NSW",-33.8698,151.205,,316416634,https://untappd.com/b/redoak-boutique-beer-cafe-pommy-bitter/815098,https://untappd.com/w/redoak-boutique-beer-cafe/2556,https://untappd.com/v/redoak-boutique-beer-cafe/5206,-33.8674869,151.2069902,Australia/Sydney,2016-05-28 12:47:43+10:00
2016-05-27 19:35:55-07:00,Organic Pale Ale,Pale Ale - English,Redoak Boutique Beer Cafe,"Sydney, N.S.W. Australia",Micro Brewery,3.75,3.34,3.46,4.5,,1321.0,6987.0,Redoak Boutique Beer Cafe,"Beer Garden, Brewery, Bar","201 Clarence St. Sydney, NSW",-33.8698,151.205,,316408667,https://untappd.com/b/redoak-boutique-beer-cafe-organic-pale-ale/13188,https://untappd.com/w/redoak-boutique-beer-cafe/2556,https://untappd.com/v/redoak-boutique-beer-cafe/5206,-33.8674869,151.2069902,Australia/Sydney,2016-05-28 12:35:55+10:00
2016-05-27 19:23:36-07:00,All Day Breakfast,Lager - Pale,Redoak Boutique Beer Cafe,"Sydney, N.S.W. Australia",Micro Brewery,4.0,3.54,3.46,5.3,,156.0,6987.0,Redoak Boutique Beer Cafe,"Beer Garden, Brewery, Bar","201 Clarence St. Sydney, NSW",-33.8698,151.205,,316399999,https://untappd.com/b/redoak-boutique-beer-cafe-all-day-breakfast/414069,https://untappd.com/w/redoak-boutique-beer-cafe/2556,https://untappd.com/v/redoak-boutique-beer-cafe/5206,-33.8674869,151.2069902,Australia/Sydney,2016-05-28 12:23:36+10:00
2016-05-27 19:21:54-07:00,Honey Ale,Pale Ale - English,Redoak Boutique Beer Cafe,"Sydney, N.S.W. Australia",Micro Brewery,4.25,3.35,3.46,4.9,,331.0,6987.0,Redoak Boutique Beer Cafe,"Beer Garden, Brewery, Bar","201 Clarence St. Sydney, NSW",-33.8698,151.205,,316398691,https://untappd.com/b/redoak-boutique-beer-cafe-honey-ale/87071,https://untappd.com/w/redoak-boutique-beer-cafe/2556,https://untappd.com/v/redoak-boutique-beer-cafe/5206,-33.8674869,151.2069902,Australia/Sydney,2016-05-28 12:21:54+10:00
2016-05-26 14:44:08-07:00,Hop Session IPA,IPA - American,Dru Bru,"Snoqualmie Pass, WA United States",Micro Brewery,4.25,3.63,3.6,4.7,56.0,939.0,5723.0,Ballard Beer Company,Beer Garden,"2050 NW Market St Seattle, WA",47.6689,-122.384,,315740349,https://untappd.com/b/dru-bru-hop-session-ipa/919017,https://untappd.com/w/dru-bru/16279,https://untappd.com/v/ballard-beer-company/1830473,47.41,-121.405833,America/Los_Angeles,2016-05-26 14:44:08-07:00
2016-05-23 19:19:01-07:00,Hop Shovel™,IPA - American,Bear Republic Brewing Co.,"Healdsburg, CA United States",Micro Brewery,4.5,3.92,3.83,7.5,100.0,9166.0,625087.0,Lanesplitter Pizza & Pub,Pizza Place,"2033 San Pablo Ave Berkeley, CA",37.8687,-122.292,,315057576,https://untappd.com/b/bear-republic-brewing-co-hop-shovel-tm/782164,https://untappd.com/w/bear-republic-brewing-co/94,https://untappd.com/v/lanesplitter-pizza-and-pub/17411,38.6104658,-122.8691609,America/Los_Angeles,2016-05-23 19:19:01-07:00
2016-05-23 19:05:58-07:00,Hop Shovel™,IPA - American,Bear Republic Brewing Co.,"Healdsburg, CA United States",Micro Brewery,4.5,3.92,3.83,7.5,100.0,9166.0,625087.0,Lanesplitter Pizza & Pub,Pizza Place,"2033 San Pablo Ave Berkeley, CA",37.8687,-122.292,,315053226,https://untappd.com/b/bear-republic-brewing-co-hop-shovel-tm/782164,https://untappd.com/w/bear-republic-brewing-co/94,https://untappd.com/v/lanesplitter-pizza-and-pub/17411,38.6104658,-122.8691609,America/Los_Angeles,2016-05-23 19:05:58-07:00
2016-05-14 18:16:59-07:00,Racer 5 IPA®,IPA - American,Bear Republic Brewing Co.,"Healdsburg, CA United States",Micro Brewery,4.0,3.88,3.83,7.5,75.0,259064.0,625087.0,Chateau Szibbo,Home (private),"Berkeley, CA",37.8665,-122.282,,311452982,https://untappd.com/b/bear-republic-brewing-co-racer-5-ipa-r/1553,https://untappd.com/w/bear-republic-brewing-co/94,https://untappd.com/v/chateau-szibbo/2699353,38.6104658,-122.8691609,America/Los_Angeles,2016-05-14 18:16:59-07:00
2016-05-14 18:16:52-07:00,Boatswain American IPA,IPA - American,Rhinelander Brewing Company,"Rhinelander, WI United States",Micro Brewery,2.75,2.96,3.07,6.7,79.0,9618.0,87377.0,Chateau Szibbo,Home (private),"Berkeley, CA",37.8665,-122.282,,311452663,https://untappd.com/b/rhinelander-brewing-company-boatswain-american-ipa/107333,https://untappd.com/w/rhinelander-brewing-company/7601,https://untappd.com/v/chateau-szibbo/2699353,45.6366228,-89.4120753,America/Los_Angeles,2016-05-14 18:16:52-07:00
2016-05-14 15:24:38-07:00,Jever Pilsener,Pilsner - German,Friesisches Brauhaus zu Jever,Germany,Macro Brewery,4.0,3.17,3.12,4.9,33.0,35193.0,37697.0,Chateau Szibbo,Home (private),"Berkeley, CA",37.8665,-122.282,,311286468,https://untappd.com/b/friesisches-brauhaus-zu-jever-jever-pilsener/5325,https://untappd.com/w/friesisches-brauhaus-zu-jever/124865,https://untappd.com/v/chateau-szibbo/2699353,51.165691,10.451526,America/Los_Angeles,2016-05-14 15:24:38-07:00
2016-05-13 20:48:17-07:00,Kent Lake Kölsch,Kölsch,Iron Springs Pub & Brewery,"Fairfax, CA United States",Micro Brewery,3.75,3.46,3.67,4.0,,1254.0,18912.0,Free House,Beer Garden,"2700 Bancroft Way Berkeley, CA",37.8691,-122.254,,310813033,https://untappd.com/b/iron-springs-pub-and-brewery-kent-lake-kolsch/280,https://untappd.com/w/iron-springs-pub-brewery/701,https://untappd.com/v/free-house/173796,37.9871454,-122.5888686,America/Los_Angeles,2016-05-13 20:48:17-07:00
2016-05-07 23:06:26-07:00,Not Your Father's Ginger Ale,Ginger Beer,Small Town Brewery,"Wauconda, IL United States",Micro Brewery,4.0,3.3,3.95,5.9,9.0,50734.0,405927.0,Boeing Manor,Home (private),"Berkeley, CA",37.8605,-122.271,,308926132,https://untappd.com/b/small-town-brewery-not-your-father-s-ginger-ale/1297475,https://untappd.com/w/small-town-brewery/20144,https://untappd.com/v/boeing-manor/509841,42.2589122,-88.1392474,America/Los_Angeles,2016-05-07 23:06:26-07:00
2016-05-07 20:04:32-07:00,Hofbräu Original,Lager - Helles,Staatliches Hofbräuhaus München,Germany,Micro Brewery,5.0,3.53,3.61,5.1,,93775.0,340739.0,Boeing Manor,Home (private),"Berkeley, CA",37.8605,-122.271,,308871554,https://untappd.com/b/staatliches-hofbrauhaus-munchen-hofbrau-original/38001,https://untappd.com/w/staatliches-hofbra-uhaus-ma-1-4-nchen/5566,https://untappd.com/v/boeing-manor/509841,51.165691,10.451526,America/Los_Angeles,2016-05-07 20:04:32-07:00
2016-05-07 20:03:53-07:00,Porter,Porter - American,Kennebunkport Brewing Co.,"Kennebunk, ME United States",Brew Pub,2.5,3.18,3.22,5.6,,7462.0,42128.0,Boeing Manor,Home (private),"Berkeley, CA",37.8605,-122.271,,308871168,https://untappd.com/b/kennebunkport-brewing-co-porter/73735,https://untappd.com/w/kennebunkport-brewing-co/3002,https://untappd.com/v/boeing-manor/509841,43.3845306,-70.54399,America/Los_Angeles,2016-05-07 20:03:53-07:00
2016-05-07 20:03:36-07:00,Blood Orange Gose,Gose,Anderson Valley Brewing Company,"Boonville, CA United States",Micro Brewery,3.5,3.74,3.65,4.2,,120748.0,958815.0,Boeing Manor,Home (private),"Berkeley, CA",37.8605,-122.271,,308870919,https://untappd.com/b/anderson-valley-brewing-company-blood-orange-gose/791939,https://untappd.com/w/anderson-valley-brewing-company/3880,https://untappd.com/v/boeing-manor/509841,39.0089749,-123.3671551,America/Los_Angeles,2016-05-07 20:03:36-07:00
